city,date,pm25,pm10,no2,aqi,vehicles_registered
Kolkata,2021-05-01,24.3,53.1,14.9,72,6232857
Kolkata,2021-06-01,17.9,35.5,18.4,56,6266514
Kolkata,2021-07-01,16.9,30.7,22.8,55,6284060
Kolkata,2021-08-01,19.1,44.2,22.6,63,6306054
Kolkata,2021-09-01,27.2,57.8,22.9,83,6341368
Kolkata,2021-10-01,43.6,70,16.2,117,6369904
Kolkata,2021-11-01,57.7,120.8,27.2,166,6394110
Kolkata,2021-12-01,50.5,106.6,24.4,146,6401783
Kolkata,2022-01-01,70.6,124.5,24.6,192,6430591
Kolkata,2022-02-01,61.5,135.1,16.9,172,6452455
Kolkata,2022-03-01,44.8,74.5,18.1,122,6476329
Kolkata,2022-04-01,44.9,94,25.9,131,6500291
Kolkata,2022-05-01,27.4,61.7,27.8,87,6523692
Kolkata,2022-06-01,23.4,52.7,20.2,73,6535435
Kolkata,2022-07-01,16.7,33.2,15.5,51,6559616
Kolkata,2022-08-01,22.7,40.4,14.4,65,6589790
Kolkata,2022-09-01,25.4,59.4,21.4,79,6597698
Kolkata,2022-10-01,36.6,63.6,19.8,103,6624089
Kolkata,2022-11-01,42.4,76.4,22.7,120,6632700
Kolkata,2022-12-01,56.4,92.2,20.4,152,6670506
Kolkata,2023-01-01,53.5,106.7,25.2,152,6696521
Kolkata,2023-02-01,56.7,106.7,22.5,157,6709244
Kolkata,2023-03-01,42.8,71.9,20.2,118,6719308
Kolkata,2023-04-01,36.2,80.6,19.1,106,6755592
Kolkata,2023-05-01,26.1,47.2,15.6,75,6765050
Kolkata,2023-06-01,22.1,37.7,18,65,6804287
Kolkata,2023-07-01,19.5,40.3,24.4,63,6834226
Kolkata,2023-08-01,20.2,34.2,20.1,61,6850628
Kolkata,2023-09-01,28.2,62.2,17.1,84,6862959
Kolkata,2023-10-01,45.6,82.6,18.4,126,6886293
Kolkata,2023-11-01,46,85.5,27.6,132,6918659
Kolkata,2023-12-01,61.7,134,19.5,174,6951177
Kolkata,2024-01-01,57.9,110.8,21,160,6960909
Kolkata,2024-02-01,58.2,138.9,16.8,167,6991537
Kolkata,2024-03-01,46.9,111,24.5,139,6999228
Kolkata,2024-04-01,34.8,66.5,17.2,99,7015326
Kolkata,2024-05-01,30.3,65.2,17.3,89,7056015
Kolkata,2024-06-01,18.8,32,19,57,7063777
Kolkata,2024-07-01,19.6,38.9,24.5,63,7077198
Kolkata,2024-08-01,21.4,47,19.8,67,7118953
Kolkata,2024-09-01,28.5,54.2,15,81,7155260
Kolkata,2024-10-01,44.5,88.3,20.1,126,7190321
Kolkata,2024-11-01,51.7,105.6,23.2,147,7224116
Kolkata,2024-12-01,48.8,80.6,15.3,130,7252290
Kolkata,2025-01-01,62.7,142.4,28.1,182,7276948
Kolkata,2025-02-01,63.3,127.2,28,179,7301690
Kolkata,2025-03-01,47.2,94.9,15.2,131,7331627
Kolkata,2025-04-01,37.6,80.2,26.6,113,7355821
Kolkata,2025-05-01,27.4,62,26.1,87,7366119
Kolkata,2025-06-01,23.5,38.5,25.2,72,7402213
Kolkata,2025-07-01,18.9,40.6,25.2,63,7436263
Kolkata,2025-08-01,21.2,36.2,21.1,64,7458572
Kolkata,2025-09-01,26.8,54.2,20.2,80,7487660
Kolkata,2025-10-01,42.2,100.4,17.5,123,7496645
Kolkata,2025-11-01,51.6,90,21.2,142,7507890
Kolkata,2025-12-01,67,146.8,18.8,188,7546931
Chennai,2019-01-01,115.6,202,31.5,309,5095962
Chennai,2019-02-01,117.5,239.8,28.7,322,5115836
Chennai,2019-03-01,105.7,209.7,33.9,292,5144996
Chennai,2019-04-01,70.3,132.1,47,205,5172779
Chennai,2019-05-01,63,123.9,50.4,189,5197608
Chennai,2019-06-01,44.1,99,43.4,140,5228274
Chennai,2019-07-01,32.9,55.7,48.3,107,5236639
Chennai,2019-08-01,43.6,81.3,51.9,138,5250254
Chennai,2019-09-01,119.2,258.6,52.1,343,5271255
Chennai,2019-10-01,70.7,151.1,48.9,212,5286542
Chennai,2019-11-01,89.7,194.7,51,264,5299758
Chennai,2019-12-01,97.8,221.9,35.5,280,5319897
Chennai,2020-01-01,103.5,198.1,36.3,286,5328941
Chennai,2020-02-01,98.7,190.1,30.6,271,5342796
Chennai,2020-03-01,83.4,177.2,37,239,5374318
Chennai,2020-04-01,65.6,110.9,42.3,187,5396353
Chennai,2020-05-01,57.7,100.9,30.8,162,5428731
Chennai,2020-06-01,53.7,101.4,30.8,154,5459132
Chennai,2020-07-01,32,59.1,33.2,99,5474963
Chennai,2020-08-01,39.6,86.4,44.3,128,5482080
Chennai,2020-09-01,49.4,99.5,45.5,152,5511683
Chennai,2020-10-01,78.1,141.4,47.9,224,5527667
Chennai,2020-11-01,87.3,157.9,52,249,5555858
Chennai,2020-12-01,128.6,215.2,50.1,349,5561969
Chennai,2021-01-01,109.6,212.6,41.7,305,5574205
Chennai,2021-02-01,110.2,202.2,48.4,307,5599846
Chennai,2021-03-01,111.5,225.4,31.3,307,5606566
Chennai,2021-04-01,76,159.9,42,222,5639084
Chennai,2021-05-01,63,122.3,45.9,186,5653182
Chennai,2021-06-01,44.8,80.5,34.4,132,5663358
Chennai,2021-07-01,32.8,76.7,46.6,112,5687710
Chennai,2021-08-01,36,74.5,36,113,5720130
Chennai,2021-09-01,49.4,116.4,42.2,155,5727566
Chennai,2021-10-01,83.1,190,32.5,240,5755631
Chennai,2021-11-01,91.9,168.1,30.7,251,5771171
Chennai,2021-12-01,124.9,260.8,53.5,356,5800604
Chennai,2022-01-01,132.6,308.7,42.5,380,5813365
Chennai,2022-02-01,99.6,199.2,39.6,280,5845339
Chennai,2022-03-01,104.5,197.6,44.6,292,5866382
Chennai,2022-04-01,77.9,176.4,34.1,226,5882221
Chennai,2022-05-01,57,99.7,27.7,159,5904573
Chennai,2022-06-01,44.5,73.4,40.6,132,5924058
Chennai,2022-07-01,64.1,137.7,52,196,5952493
Chennai,2022-08-01,45.7,86.9,46,141,5985232
Chennai,2022-09-01,52.9,99.3,43.6,158,6016954
Chennai,2022-10-01,73.7,155.2,27.8,209,6025378
Chennai,2022-11-01,87.6,206.4,45.5,260,6039236
Chennai,2022-12-01,111,254.3,51,324,6048295
Chennai,2023-01-01,114,242.7,51.2,327,6073698
Chennai,2023-02-01,121.7,239.9,41.8,338,6097385
Chennai,2023-03-01,104.5,218.2,34.6,293,6106531
Chennai,2023-04-01,86.9,180.1,51.2,254,6115080
Chennai,2023-05-01,61.9,110.1,42.7,179,6148713
Chennai,2023-06-01,66.4,151.9,35.7,196,6162855
Chennai,2023-07-01,30.7,52.9,40.7,98,6175181
Chennai,2023-08-01,43.5,98.6,49.6,142,6208527
Chennai,2023-09-01,59.8,96.3,42.7,171,6241432
Chennai,2023-10-01,73.8,157.2,50.8,221,6273887
Chennai,2023-11-01,82.2,154,39.7,231,6298355
Chennai,2023-12-01,95,179.8,42.7,267,6321659
Chennai,2024-01-01,99.3,185.9,47.2,279,6341888
Chennai,2024-02-01,111.9,205.2,49.1,311,6353303
Chennai,2024-03-01,101.5,201.1,41.7,285,6370457
Chennai,2024-04-01,67.3,118.3,27.5,185,6390842
Chennai,2024-05-01,53.5,106.7,49.9,164,6417684
Chennai,2024-06-01,43.4,74.7,31,125,6430519
Chennai,2024-07-01,30.2,71.6,48.7,106,6457527
Chennai,2024-08-01,43.7,100.2,37.5,136,6486586
Chennai,2024-09-01,59.9,120.6,49.4,181,6511235
Chennai,2024-10-01,84.1,137.2,39.2,230,6543791
Chennai,2024-11-01,84.2,185.4,52.7,251,6555570
Chennai,2024-12-01,117.4,201.3,52.4,323,6564092
Chennai,2025-01-01,134.5,237.6,45,365,6584441
Chennai,2025-02-01,94.5,185.3,37.2,264,6623289
Chennai,2025-03-01,105.5,174.9,46,288,6647795
Chennai,2025-04-01,67.6,142,30.9,194,6657767
Chennai,2025-05-01,57.3,100.8,30.8,161,6680403
Chennai,2025-06-01,33.2,53.6,39.8,103,6713137
Chennai,2025-07-01,31.2,71.6,49.6,109,6744689
Chennai,2025-08-01,45.6,77.4,40.3,135,6752108
Chennai,2025-09-01,50.2,109.1,33.2,150,6790595
Chennai,2025-10-01,72.6,123,48.3,207,6819795
Chennai,2025-11-01,105.6,203.7,44.1,296,6853212
Chennai,2025-12-01,99.4,160.5,48.1,273,6879254
Bengaluru,2019-01-01,106.5,214.6,35.3,296,4770696
Bengaluru,2019-02-01,106.8,234.7,32.2,301,4786916
Bengaluru,2019-03-01,90.2,202,42.7,263,4804628
Bengaluru,2019-04-01,55.8,102.3,28.1,157,4825768
Bengaluru,2019-05-01,45.3,91.4,24.3,131,4854240
Bengaluru,2019-06-01,33.4,61.1,42.3,107,4866376
Bengaluru,2019-07-01,32.9,67.1,41.8,107,4878055
Bengaluru,2019-08-01,40,74.1,43,124,4906348
Bengaluru,2019-09-01,54.1,126.2,33.4,163,4920576
Bengaluru,2019-10-01,57.5,93.1,37.5,163,4936322
Bengaluru,2019-11-01,93.7,158.7,27.3,250,4948663
Bengaluru,2019-12-01,104.4,202.6,34,288,4966973
Bengaluru,2020-01-01,91.6,211,29,261,4981874
Bengaluru,2020-02-01,104.3,205.1,44.4,294,4999809
Bengaluru,2020-03-01,73.6,148.9,27,206,5009309
Bengaluru,2020-04-01,63.5,138.3,42,190,5030348
Bengaluru,2020-05-01,51.3,121.1,34.7,156,5052985
Bengaluru,2020-06-01,40,64.2,27,114,5075218
Bengaluru,2020-07-01,34.1,59.8,41.6,107,5082831
Bengaluru,2020-08-01,38.2,83.1,30.2,117,5104179
Bengaluru,2020-09-01,41.7,93.7,36.7,130,5120002
Bengaluru,2020-10-01,64.2,124.5,28.8,181,5133314
Bengaluru,2020-11-01,90,199.2,29.6,255,5147687
Bengaluru,2020-12-01,90.7,206.3,31.9,260,5171881
Bengaluru,2021-01-01,99.7,184.8,29.7,271,5193603
Bengaluru,2021-02-01,103.9,247.3,29.2,297,5209703
Bengaluru,2021-03-01,81.4,160,43.1,233,5224811
Bengaluru,2021-04-01,73.3,125.5,44.6,208,5241530
Bengaluru,2021-05-01,43.7,84.9,42.5,135,5247296
Bengaluru,2021-06-01,32.7,54.1,41,103,5275107
Bengaluru,2021-07-01,27.2,50,45.2,92,5287240
Bengaluru,2021-08-01,59.2,112.2,28.8,167,5301516
Bengaluru,2021-09-01,49,115.7,24.1,145,5322192
Bengaluru,2021-10-01,76.6,147.4,33.7,215,5350400
Bengaluru,2021-11-01,86.8,202.2,32.6,251,5358961
Bengaluru,2021-12-01,111.5,228.4,38.8,312,5383612
Bengaluru,2022-01-01,94.6,171,45.5,265,5394918
Bengaluru,2022-02-01,92.5,198.2,29.8,260,5425669
Bengaluru,2022-03-01,87.3,144.1,37.7,238,5433265
Bengaluru,2022-04-01,60.4,126.8,28,173,5453911
Bengaluru,2022-05-01,52,114.3,29.3,153,5461546
Bengaluru,2022-06-01,32.5,62.5,41.2,105,5489400
Bengaluru,2022-07-01,25.2,46.8,24.7,77,5521787
Bengaluru,2022-08-01,29.6,55.3,29.8,91,5548844
Bengaluru,2022-09-01,56.2,105.1,29.3,159,5575478
Bengaluru,2022-10-01,75.4,147.2,26,209,5582169
Bengaluru,2022-11-01,86.9,179.6,29,243,5597799
Bengaluru,2022-12-01,105.9,213.5,33.1,293,5615712
Bengaluru,2023-01-01,95.5,181.7,42.7,268,5634244
Bengaluru,2023-02-01,91.1,209.6,46.8,269,5662979
Bengaluru,2023-03-01,94.7,213.5,41,274,5696391
Bengaluru,2023-04-01,71.3,127.1,33,198,5726012
Bengaluru,2023-05-01,46.3,106.1,35.7,142,5755215
Bengaluru,2023-06-01,35.6,70.7,27.9,107,5786293
Bengaluru,2023-07-01,31,71.7,39,103,5793237
Bengaluru,2023-08-01,34.1,64.1,30.4,103,5819886
Bengaluru,2023-09-01,41.1,83.2,40.7,128,5847239
Bengaluru,2023-10-01,75.6,159.5,41.7,221,5861857
Bengaluru,2023-11-01,90.6,201.1,43,264,5872408
Bengaluru,2023-12-01,98.9,173.6,41.1,272,5899421
Bengaluru,2024-01-01,89.7,213.4,25.4,256,5932458
Bengaluru,2024-02-01,111.5,192.3,24.5,295,5943136
Bengaluru,2024-03-01,88.6,185.5,42.1,255,5962748
Bengaluru,2024-04-01,60.5,120.3,37.3,176,5976462
Bengaluru,2024-05-01,49,95,47.6,151,5983036
Bengaluru,2024-06-01,34.6,76.4,31.9,108,6013549
Bengaluru,2024-07-01,32.3,76.8,42.8,109,6021968
Bengaluru,2024-08-01,31.1,65.5,29.6,97,6046658
Bengaluru,2024-09-01,52.3,94.5,44.8,156,6061775
Bengaluru,2024-10-01,65.7,129.8,46.3,194,6078142
Bengaluru,2024-11-01,93.8,186.9,30,260,6114003
Bengaluru,2024-12-01,99.5,224.4,46.3,290,6137236
Bengaluru,2025-01-01,97.6,180,43.9,272,6144601
Bengaluru,2025-02-01,83.1,140.5,42.6,231,6176553
Bengaluru,2025-03-01,96.4,188.5,31.7,266,6188288
Bengaluru,2025-04-01,58.4,97.9,29,162,6212422
Bengaluru,2025-05-01,44.5,94,32.8,134,6237893
Bengaluru,2025-06-01,69.7,118.6,33.7,193,6270330
Bengaluru,2025-07-01,28.6,67.7,35.1,95,6297919
Bengaluru,2025-08-01,40.2,69.8,38.7,121,6311145
Bengaluru,2025-09-01,51.9,85.8,42.4,152,6328816
Bengaluru,2025-10-01,71.4,164.9,30.5,208,6354764
Bengaluru,2025-11-01,92.1,155.8,26.3,246,6367474
Bengaluru,2025-12-01,98,212.5,36,278,6388487
Hyderabad,2019-01-01,94.1,156.6,33.6,254,2047183
Hyderabad,2019-02-01,89.9,180.7,25.3,247,2055576
Hyderabad,2019-03-01,84.9,162,38.7,239,2059893
Hyderabad,2019-04-01,59.2,109.8,33.7,169,2066279
Hyderabad,2019-05-01,44.1,96.9,36.4,136,2074544
Hyderabad,2019-06-01,34.7,64.7,39.7,109,2083879
Hyderabad,2019-07-01,32.6,67.8,29.8,101,2090131
Hyderabad,2019-08-01,28.9,63.7,40.9,97,2099328
Hyderabad,2019-09-01,50.8,86.3,24.9,141,2106886
Hyderabad,2019-10-01,55.1,119.9,34.9,164,2111943
Hyderabad,2019-11-01,69.4,114.8,32.7,191,2115322
Hyderabad,2019-12-01,101.5,219.8,30.7,285,2119341
Hyderabad,2020-01-01,98,170.7,28,263,2126547
Hyderabad,2020-02-01,90.2,164.7,29.1,245,2131225
Hyderabad,2020-03-01,72.5,160.5,36.1,212,2139963
Hyderabad,2020-04-01,57.6,134.8,31.1,171,2150235
Hyderabad,2020-05-01,38.6,81.8,28.2,116,2158191
Hyderabad,2020-06-01,33.2,57.3,42.9,106,2168119
Hyderabad,2020-07-01,30,56,31.2,93,2179176
Hyderabad,2020-08-01,28.1,51.8,40,92,2183970
Hyderabad,2020-09-01,51.6,101.2,42.9,156,2190740
Hyderabad,2020-10-01,69.6,146.5,43.3,205,2201475
Hyderabad,2020-11-01,69,145.5,31.5,198,2212262
Hyderabad,2020-12-01,103.5,203.6,36.9,288,2219784
Hyderabad,2021-01-01,86.5,189.9,38.1,250,2225333
Hyderabad,2021-02-01,81.8,146.2,41,229,2238685
Hyderabad,2021-03-01,85.6,182.6,22.9,238,2243610
Hyderabad,2021-04-01,105.4,217.6,28.6,291,2253258
Hyderabad,2021-05-01,64.6,118.1,38.8,185,2264750
Hyderabad,2021-06-01,31.1,66,44.7,105,2275847
Hyderabad,2021-07-01,25.6,50.3,31.3,82,2286543
Hyderabad,2021-08-01,35.2,63.2,33.2,107,2295461
Hyderabad,2021-09-01,51.7,96,36.1,151,2306020
Hyderabad,2021-10-01,64.8,154.7,37,195,2309479
Hyderabad,2021-11-01,69.3,129.7,38.7,198,2312481
Hyderabad,2021-12-01,88,161.7,33.7,242,2321731
Hyderabad,2022-01-01,90.6,168,25.8,246,2333107
Hyderabad,2022-02-01,102.3,217.3,37.6,289,2342673
Hyderabad,2022-03-01,89.4,161.1,37.8,247,2352981
Hyderabad,2022-04-01,63.4,150.2,37.8,191,2363805
