bridge_id,nh_number,state,span_m,year_built,last_inspection,ibms_rating,traffic_pcu,repair_cost_cr
IBMS-10403,NH-16,Maharashtra,990.3,1966,2023-11-07,48,93592,81.52
IBMS-10174,NH-6,Madhya Pradesh,998.4,1983,2024-03-14,27.9,30029,150.66
IBMS-10145,NH-48,Gujarat,614.2,1962,2022-08-23,20,18022,158.66
IBMS-10114,NH-19,Kerala,262.1,2001,2024-07-08,22.8,22886,35.15
IBMS-10253,NH-33,Bihar,439.2,1974,2022-05-19,73.6,6707,23.58
IBMS-10418,NH-52,Tamil Nadu,896.5,1986,2024-03-05,56.8,8255,110.42
IBMS-10179,NH-33,Tamil Nadu,122.5,1972,2022-05-13,19.3,64184,14.57
IBMS-10175,NH-6,Madhya Pradesh,675.6,1974,2024-09-17,48.3,8046,48.13
IBMS-10478,NH-44,Chhattisgarh,1039,2004,2022-03-18,76.7,56051,23.24
IBMS-10335,NH-33,Madhya Pradesh,371.4,1981,2025-05-22,33.7,7147,30.93
IBMS-10146,NH-44,Odisha,530.8,2003,2025-02-06,67.7,22752,37.75
IBMS-10309,NH-30,Jharkhand,402.7,1968,2025-12-24,56.1,36871,46.88
IBMS-10340,NH-44,Karnataka,535.6,1981,2023-09-16,21.2,71259,66.09
IBMS-10341,NH-30,Karnataka,557.8,1960,2025-01-16,45.5,66303,38.67
IBMS-10412,NH-30,Bihar,1115.7,1996,2023-01-20,19.9,66885,269.09
IBMS-10438,NH-33,Chhattisgarh,1147.5,1992,2022-02-21,61.2,61733,107.97
IBMS-10498,NH-52,Tamil Nadu,200.8,2015,2024-12-26,79.4,87964,11.26
IBMS-10086,NH-6,Rajasthan,123.7,1968,2023-01-24,74,69440,5.57
IBMS-10147,NH-6,Odisha,21.1,1968,2024-10-17,21.6,9128,5.03
IBMS-10447,NH-19,Uttar Pradesh,529.1,1996,2023-10-07,73.7,15765,34.93
IBMS-10444,NH-66,Rajasthan,1108.9,1969,2025-11-28,25.2,38405,181.24
IBMS-10328,NH-27,Uttar Pradesh,823.7,1983,2025-01-08,51.1,4871,107.22
IBMS-10333,NH-6,Bihar,90.2,1986,2025-07-07,50.8,66998,5.1
IBMS-10083,NH-27,Maharashtra,133.9,2003,2023-05-17,31.8,80037,24.14
IBMS-10105,NH-16,Gujarat,180.1,1986,2022-04-10,50.3,68866,16.95
IBMS-10254,NH-48,Madhya Pradesh,374,1960,2025-04-03,33.2,23946,30.88
IBMS-10378,NH-52,Tamil Nadu,762.4,1989,2023-12-10,26.5,94223,62.76
IBMS-10157,NH-6,Andhra Pradesh,475.4,1971,2023-02-11,59,47888,39.43
IBMS-10356,NH-44,Andhra Pradesh,688,1980,2023-10-06,55.3,41749,41.89
IBMS-10123,NH-27,Maharashtra,456,1969,2023-11-20,36.7,61885,88.27
IBMS-10119,NH-33,Uttarakhand,746.7,1994,2023-10-14,42.9,96212,125.01
IBMS-10296,NH-16,Madhya Pradesh,531.8,1987,2025-08-11,65.8,78339,53.58
IBMS-10320,NH-27,Maharashtra,748.1,2002,2024-01-04,72.9,21374,43.75
IBMS-10078,NH-33,Chhattisgarh,605.8,1968,2022-12-07,49.9,15432,44.95
IBMS-10131,NH-52,Bihar,154.2,1962,2025-03-07,49.8,4048,11.98
IBMS-10271,NH-52,Assam,980.5,1958,2022-05-15,65.6,9043,30.42
IBMS-10265,NH-6,Gujarat,891.9,1979,2023-10-09,21.5,17959,148.15
IBMS-10228,NH-52,Jharkhand,1130.4,1958,2023-03-03,35.3,19201,212.24
IBMS-10108,NH-33,Jharkhand,401.6,1989,2025-11-18,64.7,49706,24.2
IBMS-10299,NH-6,Tamil Nadu,160.7,1964,2023-02-02,31.6,31412,15.73
IBMS-10037,NH-44,Andhra Pradesh,176,1975,2023-06-23,50.6,91651,19.95
IBMS-10512,NH-27,Punjab,132.2,2007,2022-01-09,90.8,35696,2.25
IBMS-10487,NH-44,Uttar Pradesh,59.2,2014,2025-04-06,85,45234,2.23
IBMS-10310,NH-66,Assam,778.3,1981,2025-08-25,44.8,70631,76.86
IBMS-10077,NH-48,Andhra Pradesh,99.5,1976,2025-07-14,59.2,61704,12.3
IBMS-10515,NH-52,Kerala,89.9,1999,2025-06-20,79.6,35294,5.76
IBMS-10074,NH-66,Kerala,489.2,1965,2022-02-16,31.1,13179,44.53
IBMS-10441,NH-16,Maharashtra,362.6,1998,2024-02-25,70,80278,18.25
IBMS-10307,NH-16,Odisha,582.8,1979,2025-07-18,18.5,69146,89.96
IBMS-10004,NH-44,Rajasthan,482.7,1975,2023-03-14,64.3,92005,43.58
IBMS-10493,NH-48,Bihar,624.9,2009,2024-09-12,90.4,38036,16.7
IBMS-10185,NH-27,Gujarat,451.4,1994,2022-12-10,41.5,70698,57.22
IBMS-10368,NH-66,Uttar Pradesh,1161.8,1973,2023-11-15,54.7,11060,66.21
IBMS-10497,NH-48,Tamil Nadu,314.5,2011,2024-06-08,96.3,62139,1.49
IBMS-10170,NH-48,Uttar Pradesh,877.2,2000,2022-11-07,56.4,42168,122.92
IBMS-10198,NH-44,Chhattisgarh,217.4,1966,2025-01-28,65.5,48964,9.82
IBMS-10085,NH-30,Rajasthan,1223.7,1992,2022-12-27,51.6,66495,101.4
IBMS-10186,NH-16,Odisha,881.4,1974,2023-09-15,59.2,4198,37.11
IBMS-10241,NH-19,Maharashtra,148.6,1970,2022-04-03,32.4,81006,18.11
IBMS-10322,NH-33,Maharashtra,836.8,2004,2023-07-08,66,25263,89.11
IBMS-10190,NH-16,Assam,172.7,1999,2025-05-06,57.5,28442,21.73
IBMS-10172,NH-44,Bihar,565.9,1990,2025-01-27,71.8,32832,27.24
IBMS-10388,NH-44,Jharkhand,560.4,1999,2024-09-19,29.8,43832,72.78
IBMS-10286,NH-6,Rajasthan,1021.9,1958,2022-11-22,43.4,52020,163.92
IBMS-10313,NH-16,Punjab,335.2,1993,2025-02-25,19.1,3363,68.99
IBMS-10033,NH-30,Punjab,426.4,1977,2022-05-08,31.1,10174,29.91
IBMS-10178,NH-19,Tamil Nadu,315.9,1988,2022-07-13,19.7,96928,69.1
IBMS-10489,NH-30,Uttar Pradesh,81.9,2010,2024-01-05,81.9,60371,1.39
IBMS-10199,NH-48,Uttarakhand,930.3,1990,2022-11-08,55.3,60789,65.33
IBMS-10242,NH-16,Maharashtra,1132.1,1964,2024-12-22,41.7,41283,180.65
IBMS-10189,NH-52,Jharkhand,1054.9,1966,2025-05-04,54.8,46279,138.51
IBMS-10235,NH-16,Kerala,117.8,2003,2022-12-13,55.3,7075,16.43
IBMS-10304,NH-44,Gujarat,406.5,1964,2022-05-16,66,20720,28.15
IBMS-10421,NH-66,Karnataka,422.5,1974,2023-12-19,69.7,97675,43.18
IBMS-10505,NH-66,Gujarat,557.9,2016,2025-02-25,83.2,19611,17.89
IBMS-10367,NH-19,Uttar Pradesh,1143.4,1967,2025-06-02,66.9,43252,68.92
IBMS-10200,NH-48,Maharashtra,874,1977,2024-12-23,35.3,3399,188.53
IBMS-10260,NH-66,Karnataka,1147.5,2004,2025-09-19,69.3,36059,74.05
IBMS-10358,NH-16,Chhattisgarh,207.8,1963,2022-02-21,59.6,85785,22.97
IBMS-10366,NH-52,Rajasthan,374,1978,2022-10-18,49.8,33440,36.61
IBMS-10169,NH-16,Uttar Pradesh,536.9,1996,2025-10-27,25.1,58792,37.92
IBMS-10283,NH-16,Maharashtra,1016.3,1993,2023-05-26,68.4,17043,97.28
IBMS-10136,NH-6,Madhya Pradesh,881.8,1982,2025-10-17,42.1,83566,101.24
IBMS-10269,NH-66,Jharkhand,433.4,1982,2024-02-18,23.1,70167,104.35
IBMS-10413,NH-6,Bihar,121.1,1961,2022-01-05,58.3,56821,15.18
IBMS-10071,NH-16,Assam,1139.1,1969,2025-05-22,56.8,42971,72.34
IBMS-10264,NH-6,Gujarat,566.7,2003,2023-09-05,57.8,29453,23.77
IBMS-10201,NH-6,Maharashtra,997,1960,2022-12-22,32.4,87126,219.11
IBMS-10351,NH-33,Assam,27.2,1976,2023-06-21,47.2,15057,1.91
IBMS-10007,NH-52,Uttar Pradesh,1057.4,1991,2025-05-23,64.1,86878,123.3
IBMS-10311,NH-19,Assam,725.2,1989,2025-02-27,72.9,25669,24.76
IBMS-10508,NH-66,Jharkhand,121.2,2006,2025-01-20,92.8,30293,2.62
IBMS-10382,NH-6,Karnataka,971.8,1979,2024-02-24,68,94061,52.31
IBMS-10182,NH-16,Karnataka,190.7,1981,2024-02-15,56.7,3168,21.93
IBMS-10173,NH-16,Bihar,720.6,1975,2024-01-16,66.5,89170,69.52
IBMS-10134,NH-6,Madhya Pradesh,58.2,1970,2023-09-03,62.6,85265,6.69
IBMS-10496,NH-6,Madhya Pradesh,552.4,2003,2025-11-05,91.8,91235,10.02
IBMS-10125,NH-48,Rajasthan,320,1998,2023-04-25,51,31064,48.26
IBMS-10404,NH-19,Rajasthan,199.3,1962,2022-09-11,28,19971,46.26
IBMS-10331,NH-33,Bihar,899.5,1979,2022-12-06,39.6,59808,64.44
IBMS-10060,NH-52,Karnataka,30.7,1976,2023-03-26,49.2,51465,3.66
IBMS-10040,NH-48,Maharashtra,43.4,1973,2024-12-06,71,38143,3.52
IBMS-10139,NH-16,Tamil Nadu,233.4,1982,2025-01-03,66.7,55353,12.91
IBMS-10268,NH-48,Jharkhand,710.3,1993,2022-11-13,72.2,39201,25.91
IBMS-10503,NH-16,Gujarat,660.2,2008,2024-06-02,82.9,48184,36.61
IBMS-10032,NH-52,Punjab,1157.4,2000,2022-07-22,41.7,8845,224.16
IBMS-10124,NH-19,Rajasthan,1100.6,1990,2024-03-18,46.7,36246,99.73
IBMS-10024,NH-48,Gujarat,875.1,1982,2023-10-15,34,77179,187.02
IBMS-10501,NH-66,Karnataka,608.2,2007,2025-06-03,92.7,35809,4.64
IBMS-10045,NH-27,Rajasthan,986.8,1973,2024-02-01,67.7,42736,96.07
IBMS-10168,NH-16,Uttar Pradesh,1235.3,1988,2023-03-10,26.9,11947,198.93
IBMS-10013,NH-27,Bihar,64.8,1976,2024-06-23,35.5,76057,9.65
IBMS-10229,NH-44,Jharkhand,908.2,1993,2025-05-09,27.7,71408,187.4
IBMS-10376,NH-52,Madhya Pradesh,557.6,1989,2023-06-28,70.5,73387,28.08
IBMS-10514,NH-44,Kerala,550.9,2002,2023-12-06,80.8,43359,22.27
IBMS-10350,NH-6,Assam,391.9,1961,2022-11-01,57.2,63608,53.2
IBMS-10502,NH-33,Karnataka,146.3,2007,2024-01-07,84.9,2684,3.78
IBMS-10425,NH-48,Gujarat,1132.7,1969,2023-01-13,60.3,67376,134.86
IBMS-10028,NH-19,Jharkhand,1210.1,1973,2024-11-14,67.1,22339,111.32
IBMS-10109,NH-52,Jharkhand,766.7,1987,2025-02-02,60,66322,73.54
IBMS-10180,NH-44,Karnataka,271.2,1997,2025-07-13,32.7,50839,58.46
IBMS-10048,NH-52,Uttar Pradesh,207,1966,2022-06-06,45.5,61201,27.09
IBMS-10246,NH-19,Rajasthan,1084.5,1970,2022-08-10,28.6,68837,123.12
IBMS-10433,NH-66,Punjab,1189.8,1961,2025-02-06,27.3,76756,184.67
IBMS-10510,NH-27,Assam,1192.5,2004,2024-12-16,83.4,30152,65.31
IBMS-10095,NH-16,Madhya Pradesh,702.7,1969,2024-09-02,47.8,8108,80.15
IBMS-10459,NH-66,Tamil Nadu,291.7,1961,2025-10-25,20.2,68756,21.28
IBMS-10488,NH-52,Uttar Pradesh,963.1,2004,2024-02-25,93.1,31160,9.01
IBMS-10273,NH-27,Punjab,39.9,1958,2023-07-02,21.2,97547,6.99
IBMS-10210,NH-19,Uttar Pradesh,800,1996,2023-05-16,67.4,23465,32.73
IBMS-10472,NH-33,Punjab,1105.6,2018,2023-11-27,85.8,80437,35.21
IBMS-10076,NH-66,Andhra Pradesh,554.9,1960,2025-09-22,23.9,53651,92.52
IBMS-10462,NH-16,Karnataka,680.3,1968,2023-10-21,71.9,11513,58.11
IBMS-10504,NH-6,Gujarat,869.9,2003,2024-06-02,78.5,97411,25.9
IBMS-10249,NH-6,Uttar Pradesh,1001.9,1971,2022-07-01,48.9,59674,157.33
IBMS-10480,NH-27,Maharashtra,1080.2,2013,2022-04-15,95.3,2833,8.81
IBMS-10295,NH-6,Madhya Pradesh,967.5,1963,2024-04-28,36.8,72955,121.8
IBMS-10473,NH-66,Punjab,644,2020,2023-02-20,86.1,36975,24.52
IBMS-10106,NH-19,Odisha,88.7,1985,2023-04-16,35.3,72184,11.65
IBMS-10100,NH-16,Karnataka,1145,2003,2023-05-03,46,72571,187.1
IBMS-10416,NH-16,Madhya Pradesh,439,1972,2024-08-03,18.5,32557,85.62
IBMS-10012,NH-30,Bihar,789.1,1963,2024-08-05,71.6,42121,63
IBMS-10043,NH-19,Maharashtra,1010.9,1985,2025-01-19,42,29448,69.71
IBMS-10464,NH-27,Gujarat,775.3,1970,2023-04-01,41.1,86909,125.81
IBMS-10234,NH-48,Kerala,1190.2,1961,2024-10-03,23.4,24466,244.15
IBMS-10471,NH-6,Assam,1024.6,2012,2025-04-27,90.7,82976,29.83
IBMS-10092,NH-19,Bihar,1212.1,1969,2025-06-08,35.1,3236,89.29
IBMS-10398,NH-66,Chhattisgarh,979,1968,2025-12-19,55.1,87564,130.29
IBMS-10026,NH-30,Odisha,1198,1964,2024-03-06,51.2,77560,192.05
IBMS-10196,NH-44,Andhra Pradesh,522,1981,2022-01-11,60.2,12107,54.97
IBMS-10293,NH-66,Bihar,1052.6,1981,2025-08-12,27.1,91283,151.4
IBMS-10267,NH-33,Odisha,240.6,1989,2023-03-01,44.4,37703,36.61
IBMS-10036,NH-30,Andhra Pradesh,926.5,1972,2023-02-18,48.8,52540,64.51
IBMS-10289,NH-52,Uttar Pradesh,728.1,2003,2022-05-18,54.3,83344,88.48
IBMS-10468,NH-16,Jharkhand,1052.1,1974,2025-08-18,60.8,66872,44.58
IBMS-10171,NH-6,Bihar,428.5,1993,2022-06-12,24.8,95715,65.22
IBMS-10276,NH-44,Andhra Pradesh,591.6,1964,2023-06-18,19.5,8370,93.63
IBMS-10050,NH-16,Uttar Pradesh,607.5,1994,2024-09-28,30.3,77589,124.45
IBMS-10237,NH-27,Andhra Pradesh,308.7,1987,2022-06-18,53,35628,21.95
IBMS-10373,NH-19,Bihar,195.2,1995,2023-12-24,64.6,19985,19.03
IBMS-10519,NH-30,Uttarakhand,348.2,2004,2025-02-02,87.5,92474,8.22
IBMS-10051,NH-27,Bihar,1137.9,1961,2025-11-13,28.1,73392,229.9
IBMS-10204,NH-52,Rajasthan,914.9,1986,2025-03-01,31.3,47835,161.22
IBMS-10010,NH-6,Uttar Pradesh,279.2,2004,2024-08-27,64.8,25670,32.79
IBMS-10137,NH-19,Tamil Nadu,1010.2,1977,2024-04-04,67.1,79754,33.5
IBMS-10152,NH-44,Punjab,941,1990,2023-01-06,41.8,31734,131
IBMS-10274,NH-66,Kerala,642.9,1998,2024-08-08,49,56879,55.21
IBMS-10297,NH-19,Tamil Nadu,939.6,1970,2024-04-16,32.5,66078,212.47
IBMS-10292,NH-27,Bihar,219.6,1997,2023-07-10,67.2,57963,21.3
IBMS-10420,NH-66,Karnataka,105.7,1995,2025-01-07,21.1,3022,17.97
IBMS-10332,NH-33,Bihar,1093.5,1988,2022-06-26,65.9,31180,79.87
IBMS-10443,NH-6,Maharashtra,223.2,1962,2023-07-11,72.8,52637,5.93
IBMS-10290,NH-27,Uttar Pradesh,985,1974,2025-05-06,40.9,74724,115.67
IBMS-10319,NH-30,Uttarakhand,493.8,1989,2022-05-05,48.4,53920,64.74
IBMS-10227,NH-30,Odisha,127.3,1984,2024-02-04,68,82214,11
IBMS-10411,NH-16,Bihar,728.2,1959,2023-08-02,50.2,33325,96.35
IBMS-10111,NH-16,Assam,272.9,1989,2024-09-03,26,72711,56.75
IBMS-10240,NH-30,Maharashtra,963.4,1985,2022-11-28,61.4,9292,90.14
IBMS-10041,NH-6,Maharashtra,1180.8,1976,2024-06-05,22.4,79321,209.19
IBMS-10440,NH-27,Maharashtra,356.5,1984,2025-08-24,71.1,14525,13.53
IBMS-10349,NH-33,Jharkhand,980.7,1970,2024-01-03,34.8,31161,62.79
IBMS-10202,NH-48,Maharashtra,824.9,1988,2024-01-27,45.5,57880,102.23
IBMS-10194,NH-66,Kerala,128.1,1965,2022-08-16,21.8,92649,32.45
IBMS-10278,NH-16,Chhattisgarh,931.7,1998,2023-06-13,61.7,84111,95.74
IBMS-10238,NH-27,Chhattisgarh,54.7,1993,2023-11-05,37.9,28432,7.48
