district,month,beds_total,beds_occupied,icu_total,icu_occupied,staff_nurses,staff_doctors
Pune,2023-09,2221,1626,133,105,931,233
Pune,2023-10,2223,1329,134,92,756,256
Pune,2023-11,2225,1388,134,94,1195,223
Pune,2023-12,2227,1156,134,81,1053,276
Pune,2024-01,2229,1242,134,79,1050,216
Pune,2024-02,2231,1276,134,90,953,196
Pune,2024-03,2233,1297,135,90,1197,181
Pune,2024-04,2235,1614,135,115,798,306
Pune,2024-05,2238,1754,135,125,786,217
Pune,2024-06,2240,1807,135,114,735,204
Pune,2024-07,2242,1726,135,115,861,168
Pune,2024-08,2244,1762,136,117,848,215
Pune,2024-09,2246,1723,136,113,764,184
Pune,2024-10,2248,1688,136,116,1088,285
Pune,2024-11,2250,1052,136,73,1179,299
Pune,2024-12,2252,1639,136,111,1022,245
Pune,2025-01,2254,1151,137,81,1062,194
Pune,2025-02,2257,1241,137,76,1131,178
Pune,2025-03,2259,1385,137,96,1080,169
Pune,2025-04,2261,1759,137,116,925,158
Pune,2025-05,2263,1579,137,113,778,170
Pune,2025-06,2265,1718,138,110,1010,272
Pune,2025-07,2267,1636,138,108,823,247
Pune,2025-08,2269,1843,138,113,869,195
Pune,2025-09,2271,1758,138,117,1024,293
Pune,2025-10,2273,1632,138,110,1237,300
Pune,2025-11,2275,1437,139,99,1203,221
Pune,2025-12,2278,1315,139,94,929,292
Nagpur,2019-01,671,357,60,37,369,49
Nagpur,2019-02,672,325,60,34,314,63
Nagpur,2019-03,672,420,60,44,346,67
Nagpur,2019-04,673,436,60,41,226,80
Nagpur,2019-05,674,423,60,42,303,72
Nagpur,2019-06,674,568,61,53,217,94
Nagpur,2019-07,675,528,61,53,227,92
Nagpur,2019-08,676,482,61,48,285,81
Nagpur,2019-09,676,499,61,47,347,66
Nagpur,2019-10,677,475,61,47,303,79
Nagpur,2019-11,678,417,61,44,367,48
Nagpur,2019-12,678,431,61,44,332,55
Nagpur,2020-01,679,554,61,57,351,74
Nagpur,2020-02,680,507,61,46,348,70
Nagpur,2020-03,680,414,61,39,328,80
Nagpur,2020-04,681,512,61,49,349,94
Nagpur,2020-05,682,561,62,55,284,85
Nagpur,2020-06,682,682,62,62,296,56
Nagpur,2020-07,683,665,62,62,230,92
Nagpur,2020-08,684,677,62,62,311,92
Nagpur,2020-09,684,568,62,55,315,75
Nagpur,2020-10,685,499,62,47,284,49
Nagpur,2020-11,686,616,62,61,274,71
Nagpur,2020-12,686,464,62,47,362,69
Nagpur,2021-01,687,443,62,41,328,54
Nagpur,2021-02,688,598,63,63,374,65
Nagpur,2021-03,688,489,63,50,335,78
Nagpur,2021-04,689,539,63,53,294,83
Nagpur,2021-05,690,630,63,60,290,53
Nagpur,2021-06,690,643,63,63,255,53
Nagpur,2021-07,691,678,63,63,312,90
Nagpur,2021-08,692,658,63,63,229,57
Nagpur,2021-09,692,458,63,43,313,81
Nagpur,2021-10,693,431,63,42,260,67
Nagpur,2021-11,694,435,63,41,285,49
Nagpur,2021-12,694,487,64,53,325,49
Nagpur,2022-01,695,415,64,44,244,72
Nagpur,2022-02,696,396,64,42,236,80
Nagpur,2022-03,696,435,64,43,342,84
Nagpur,2022-04,697,517,64,54,273,78
Nagpur,2022-05,698,518,64,52,298,50
Nagpur,2022-06,699,499,64,54,311,83
Nagpur,2022-07,699,606,64,61,289,78
Nagpur,2022-08,700,542,64,58,307,74
Nagpur,2022-09,701,536,64,53,353,74
Nagpur,2022-10,701,524,65,53,254,74
Nagpur,2022-11,702,421,65,44,347,53
Nagpur,2022-12,703,530,65,52,366,96
Nagpur,2023-01,703,373,65,40,299,87
Nagpur,2023-02,704,425,65,41,320,73
Nagpur,2023-03,705,503,65,50,253,52
Nagpur,2023-04,705,497,65,51,334,80
Nagpur,2023-05,706,478,65,47,264,52
Nagpur,2023-06,707,425,65,45,312,64
Nagpur,2023-07,707,535,65,54,321,95
Nagpur,2023-08,708,573,66,55,257,86
Nagpur,2023-09,709,510,66,55,234,71
Nagpur,2023-10,709,449,66,44,339,92
Nagpur,2023-11,710,446,66,47,385,81
Nagpur,2023-12,711,472,66,49,296,87
Nagpur,2024-01,711,437,66,43,282,96
Nagpur,2024-02,712,345,66,36,283,58
Nagpur,2024-03,713,471,66,44,304,72
Nagpur,2024-04,713,508,66,54,254,76
Nagpur,2024-05,714,455,66,47,314,52
Nagpur,2024-06,715,573,67,55,253,70
Nagpur,2024-07,715,563,67,53,322,64
Nagpur,2024-08,716,565,67,56,323,86
Nagpur,2024-09,717,484,67,46,240,54
Nagpur,2024-10,717,519,67,51,377,95
Nagpur,2024-11,718,466,67,47,377,83
Nagpur,2024-12,719,274,67,30,252,64
Nagpur,2025-01,719,381,67,37,303,72
Nagpur,2025-02,720,525,67,54,323,58
Nagpur,2025-03,721,428,67,47,296,67
Nagpur,2025-04,721,459,68,46,368,79
Nagpur,2025-05,722,558,68,61,287,100
Nagpur,2025-06,723,527,68,58,318,100
Nagpur,2025-07,723,641,68,64,352,69
Nagpur,2025-08,724,562,68,56,287,101
Nagpur,2025-09,725,462,68,44,249,55
Nagpur,2025-10,725,448,68,46,253,61
Nagpur,2025-11,726,484,68,46,353,93
Nagpur,2025-12,727,452,68,49,370,100
Nashik,2019-01,1342,842,127,84,548,109
Nashik,2019-02,1343,897,127,95,662,177
Nashik,2019-03,1345,948,127,102,724,168
Nashik,2019-04,1346,1093,128,115,510,120
Nashik,2019-05,1347,1056,128,101,458,100
Nashik,2019-06,1349,1207,128,123,506,96
Nashik,2019-07,1350,1229,128,128,494,96
Nashik,2019-08,1351,907,128,87,569,96
Nashik,2019-09,1353,911,129,90,525,118
Nashik,2019-10,1354,1285,129,129,663,179
Nashik,2019-11,1355,820,129,79,722,176
Nashik,2019-12,1357,736,129,77,706,104
Nashik,2020-01,1358,1042,130,114,619,170
Nashik,2020-02,1359,896,130,91,745,129
Nashik,2020-03,1361,1044,130,100,661,185
Nashik,2020-04,1362,1099,130,112,648,132
Nashik,2020-05,1363,1014,130,112,662,174
Nashik,2020-06,1365,1270,131,131,642,167
Nashik,2020-07,1366,1241,131,127,721,149
Nashik,2020-08,1367,1273,131,131,625,163
Nashik,2020-09,1369,1082,131,116,455,144
Nashik,2020-10,1370,1242,131,129,559,175
Nashik,2020-11,1372,1230,132,129,663,185
Nashik,2020-12,1373,982,132,106,697,106
Nashik,2021-01,1374,1094,132,123,504,128
Nashik,2021-02,1376,984,132,99,472,158
Nashik,2021-03,1377,1331,133,133,706,158
Nashik,2021-04,1378,1196,133,130,594,120
Nashik,2021-05,1380,904,133,87,617,98
Nashik,2021-06,1381,1058,133,102,670,102
Nashik,2021-07,1382,1368,133,133,739,122
Nashik,2021-08,1384,1110,134,114,486,137
Nashik,2021-09,1385,993,134,106,510,98
Nashik,2021-10,1386,882,134,99,710,187
Nashik,2021-11,1388,871,134,99,500,136
Nashik,2021-12,1389,854,134,94,690,175
Nashik,2022-01,1390,830,135,91,463,121
Nashik,2022-02,1392,870,135,99,748,164
Nashik,2022-03,1393,1050,135,103,486,120
Nashik,2022-04,1394,983,135,104,651,141
Nashik,2022-05,1396,974,135,102,496,105
Nashik,2022-06,1397,960,136,99,768,155
Nashik,2022-07,1398,1122,136,111,468,164
Nashik,2022-08,1400,965,136,98,686,174
Nashik,2022-09,1401,1012,136,110,727,109
Nashik,2022-10,1402,792,137,82,572,119
Nashik,2022-11,1404,818,137,93,504,133
Nashik,2022-12,1405,1051,137,113,628,105
Nashik,2023-01,1406,799,137,78,692,134
Nashik,2023-02,1408,712,137,74,610,163
Nashik,2023-03,1409,852,138,84,706,99
Nashik,2023-04,1410,1193,138,128,729,183
Nashik,2023-05,1412,1003,138,99,722,107
Nashik,2023-06,1413,1012,138,115,581,187
Nashik,2023-07,1414,1110,138,119,468,168
Nashik,2023-08,1416,955,139,104,544,132
Nashik,2023-09,1417,948,139,109,775,186
Nashik,2023-10,1418,1051,139,106,547,166
Nashik,2023-11,1420,899,139,98,763,159
Nashik,2023-12,1421,826,139,93,641,179
Nashik,2024-01,1423,969,140,107,518,134
Nashik,2024-02,1424,871,140,96,538,171
Nashik,2024-03,1425,1083,140,110,500,170
Nashik,2024-04,1427,1035,140,115,664,184
Nashik,2024-05,1428,1028,141,102,637,183
Nashik,2024-06,1429,945,141,107,660,123
Nashik,2024-07,1431,1133,141,116,741,189
Nashik,2024-08,1432,850,141,90,652,146
Nashik,2024-09,1433,963,141,101,632,135
Nashik,2024-10,1435,852,142,90,634,115
Nashik,2024-11,1436,773,142,82,695,181
Nashik,2024-12,1437,840,142,85,611,180
Nashik,2025-01,1439,967,142,99,517,186
Nashik,2025-02,1440,1058,142,123,507,193
Nashik,2025-03,1441,958,143,98,728,148
Nashik,2025-04,1443,881,143,91,649,118
Nashik,2025-05,1444,1097,143,110,716,160
Nashik,2025-06,1445,997,143,105,670,168
Nashik,2025-07,1447,920,144,105,547,103
Nashik,2025-08,1448,1182,144,120,725,138
Nashik,2025-09,1449,1038,144,118,780,114
Nashik,2025-10,1451,1014,144,106,474,128
Nashik,2025-11,1452,844,144,97,543,182
Nashik,2025-12,1453,857,145,95,631,119
Aurangabad,2019-01,645,472,51,38,323,86
Aurangabad,2019-02,646,357,51,30,250,70
Aurangabad,2019-03,646,336,51,31,241,59
Aurangabad,2019-04,647,469,51,38,322,49
Aurangabad,2019-05,648,506,51,43,258,65
Aurangabad,2019-06,648,539,51,48,254,75
Aurangabad,2019-07,649,597,52,50,300,84
Aurangabad,2019-08,650,436,52,38,279,49
Aurangabad,2019-09,650,503,52,43,350,49
Aurangabad,2019-10,651,496,52,45,241,90
Aurangabad,2019-11,651,422,52,34,238,91
Aurangabad,2019-12,652,360,52,33,280,48
Aurangabad,2020-01,653,421,52,38,355,67
Aurangabad,2020-02,653,541,52,48,274,65
Aurangabad,2020-03,654,579,52,50,277,77
Aurangabad,2020-04,655,547,52,45,338,59
Aurangabad,2020-05,655,567,52,49,278,50
Aurangabad,2020-06,656,649,52,52,212,49
Aurangabad,2020-07,657,618,53,53,219,91
Aurangabad,2020-08,657,578,53,49,304,67
Aurangabad,2020-09,658,487,53,39,262,90
Aurangabad,2020-10,659,652,53,53,225,92
Aurangabad,2020-11,659,522,53,44,342,84
Aurangabad,2020-12,660,486,53,44,304,54
Aurangabad,2021-01,660,487,53,45,352,51
Aurangabad,2021-02,661,454,53,40,266,49
Aurangabad,2021-03,662,423,53,34,341,89
Aurangabad,2021-04,662,510,53,42,282,59
Aurangabad,2021-05,663,604,53,50,302,68
Aurangabad,2021-06,664,657,53,53,309,54
Aurangabad,2021-07,664,657,54,54,363,58
Aurangabad,2021-08,665,482,54,41,308,69
Aurangabad,2021-09,666,528,54,45,249,53
Aurangabad,2021-10,666,470,54,41,338,88
Aurangabad,2021-11,667,455,54,43,227,80
Aurangabad,2021-12,668,416,54,37,320,79
Aurangabad,2022-01,668,394,54,35,295,75
Aurangabad,2022-02,669,422,54,35,320,52
Aurangabad,2022-03,670,379,54,33,359,52
Aurangabad,2022-04,670,478,54,43,224,56
Aurangabad,2022-05,671,524,54,48,329,81
Aurangabad,2022-06,671,530,54,44,368,86
Aurangabad,2022-07,672,525,55,50,331,58
Aurangabad,2022-08,673,544,55,48,255,70
Aurangabad,2022-09,673,436,55,42,238,85
Aurangabad,2022-10,674,511,55,42,231,78
Aurangabad,2022-11,675,500,55,46,252,74
Aurangabad,2022-12,675,403,55,36,219,68
Aurangabad,2023-01,676,440,55,38,284,80
Aurangabad,2023-02,677,386,55,34,309,73
Aurangabad,2023-03,677,468,55,41,259,80
Aurangabad,2023-04,678,424,55,38,231,66
Aurangabad,2023-05,679,581,55,54,249,84
Aurangabad,2023-06,679,615,56,56,302,59
Aurangabad,2023-07,680,488,56,47,360,73
Aurangabad,2023-08,680,594,56,52,247,90
Aurangabad,2023-09,681,571,56,48,231,67
Aurangabad,2023-10,682,439,56,40,277,79
Aurangabad,2023-11,682,450,56,38,340,52
Aurangabad,2023-12,683,378,56,32,370,56
Aurangabad,2024-01,684,422,56,36,276,86
Aurangabad,2024-02,684,438,56,41,341,85
Aurangabad,2024-03,685,406,56,37,334,62
Aurangabad,2024-04,686,436,56,40,269,75
Aurangabad,2024-05,686,556,56,47,373,76
Aurangabad,2024-06,687,443,57,42,336,61
Aurangabad,2024-07,688,475,57,43,255,78
Aurangabad,2024-08,688,546,57,47,221,59
Aurangabad,2024-09,689,536,57,51,281,92
Aurangabad,2024-10,690,469,57,40,258,55
Aurangabad,2024-11,690,460,57,40,331,80
Aurangabad,2024-12,691,381,57,33,345,62
Aurangabad,2025-01,691,446,57,43,359,55
Aurangabad,2025-02,692,333,57,29,295,89
Aurangabad,2025-03,693,420,57,37,306,95
Aurangabad,2025-04,693,490,57,45,274,67
Aurangabad,2025-05,694,512,57,44,316,84
Aurangabad,2025-06,695,490,58,47,320,93
Aurangabad,2025-07,695,475,58,47,288,52
Aurangabad,2025-08,696,586,58,57,236,89
Aurangabad,2025-09,697,555,58,48,317,52
Aurangabad,2025-10,697,311,58,28,362,76
Aurangabad,2025-11,698,356,58,32,336,94
Aurangabad,2025-12,699,439,58,40,311,89
Jaipur,2019-01,1755,972,132,79,658,214
Jaipur,2019-02,1757,873,132,75,859,211
Jaipur,2019-03,1759,1228,132,103,725,218
Jaipur,2019-04,1760,1112,133,93,739,148
Jaipur,2019-05,1762,1238,133,103,835,136
Jaipur,2019-06,1764,1490,133,120,624,245
Jaipur,2019-07,1766,1461,133,123,906,242
Jaipur,2019-08,1767,1279,134,113,866,127
Jaipur,2019-09,1769,1239,134,99,839,157
Jaipur,2019-10,1771,1145,134,98,641,239
Jaipur,2019-11,1773,1240,134,107,819,147
Jaipur,2019-12,1774,796,134,71,649,160
Jaipur,2020-01,1776,1368,135,118,941,139
Jaipur,2020-02,1778,1521,135,121,914,208
Jaipur,2020-03,1780,1247,135,98,708,137
Jaipur,2020-04,1781,1072,135,91,584,183
Jaipur,2020-05,1783,1363,136,120,822,194
Jaipur,2020-06,1785,1366,136,112,710,134
Jaipur,2020-07,1787,1516,136,118,776,143
Jaipur,2020-08,1788,1739,136,136,676,197
Jaipur,2020-09,1790,1624,136,127,915,197
Jaipur,2020-10,1792,1417,137,119,887,183
Jaipur,2020-11,1794,1489,137,126,843,246
Jaipur,2020-12,1795,1402,137,119,860,126
Jaipur,2021-01,1797,1435,137,115,724,173
Jaipur,2021-02,1799,1409,138,127,880,245
Jaipur,2021-03,1801,1533,138,126,987,229
Jaipur,2021-04,1802,1513,138,124,769,132
Jaipur,2021-05,1804,1760,138,138,678,152
Jaipur,2021-06,1806,1788,138,138,957,168
Jaipur,2021-07,1808,1727,139,139,922,221
Jaipur,2021-08,1809,1791,139,139,709,139
Jaipur,2021-09,1811,1315,139,104,951,235
Jaipur,2021-10,1813,1766,139,139,582,169
Jaipur,2021-11,1815,865,139,71,951,187
Jaipur,2021-12,1816,932,140,79,630,154
Jaipur,2022-01,1818,1134,140,102,851,189
Jaipur,2022-02,1820,918,140,79,659,237
Jaipur,2022-03,1822,1132,140,88,809,142
Jaipur,2022-04,1823,1052,141,85,815,210
Jaipur,2022-05,1825,1280,141,112,631,199
Jaipur,2022-06,1827,1398,141,125,643,190
Jaipur,2022-07,1829,1298,141,101,655,154
Jaipur,2022-08,1830,1309,141,113,915,245
Jaipur,2022-09,1832,1370,142,115,753,236
Jaipur,2022-10,1834,1081,142,84,704,216
Jaipur,2022-11,1836,1259,142,109,712,241
Jaipur,2022-12,1837,1212,142,105,641,228
Jaipur,2023-01,1839,1198,143,94,920,180
Jaipur,2023-02,1841,1027,143,89,771,199
Jaipur,2023-03,1843,1402,143,127,597,194
Jaipur,2023-04,1845,1177,143,105,1007,166
Jaipur,2023-05,1846,1405,143,128,805,238
Jaipur,2023-06,1848,1228,144,109,643,216
Jaipur,2023-07,1850,1550,144,122,1012,213
Jaipur,2023-08,1852,1207,144,101,1004,194
Jaipur,2023-09,1853,1605,144,141,767,191
Jaipur,2023-10,1855,1272,145,110,1017,249
Jaipur,2023-11,1857,1128,145,102,953,214
Jaipur,2023-12,1859,1101,145,93,669,201
Jaipur,2024-01,1860,1154,145,106,973,216
Jaipur,2024-02,1862,1258,145,112,879,203
Jaipur,2024-03,1864,1138,146,103,608,235
Jaipur,2024-04,1866,1250,146,112,890,187
Jaipur,2024-05,1867,1281,146,118,855,155
Jaipur,2024-06,1869,1323,146,105,632,196
Jaipur,2024-07,1871,1335,147,118,745,172
Jaipur,2024-08,1873,1309,147,108,914,144
Jaipur,2024-09,1874,1459,147,124,783,204
Jaipur,2024-10,1876,1085,147,92,829,199
Jaipur,2024-11,1878,1281,147,118,823,250
Jaipur,2024-12,1880,1301,148,111,831,167
Jaipur,2025-01,1881,1178,148,97,935,181
Jaipur,2025-02,1883,1051,148,89,975,207
Jaipur,2025-03,1885,1172,148,97,976,141
Jaipur,2025-04,1887,1152,149,97,859,162
Jaipur,2025-05,1888,1712,149,148,936,162
Jaipur,2025-06,1890,1343,149,118,716,249
Jaipur,2025-07,1892,1352,149,115,971,195
Jaipur,2025-08,1894,1602,149,131,849,212
Jaipur,2025-09,1895,1224,150,100,923,153
Jaipur,2025-10,1897,1343,150,122,812,203
Jaipur,2025-11,1899,1247,150,113,868,133
Jaipur,2025-12,1901,954,150,85,728,224
Jodhpur,2019-01,1530,992,155,111,588,199
Jodhpur,2019-02,1532,949,155,96,725,173
Jodhpur,2019-03,1533,1027,156,123,524,152
Jodhpur,2019-04,1535,976,156,106,562,210
Jodhpur,2019-05,1536,961,156,99,507,152
Jodhpur,2019-06,1538,1233,156,143,538,161
Jodhpur,2019-07,1539,1012,157,105,686,139
Jodhpur,2019-08,1541,1187,157,138,519,156
Jodhpur,2019-09,1542,1208,157,134,649,113
Jodhpur,2019-10,1544,1140,157,119,550,193
Jodhpur,2019-11,1545,953,158,113,774,212
Jodhpur,2019-12,1547,944,158,107,611,164
Jodhpur,2020-01,1548,1266,158,138,783,194
Jodhpur,2020-02,1550,1034,158,118,707,133
Jodhpur,2020-03,1551,1277,159,139,647,185
Jodhpur,2020-04,1553,1537,159,159,834,205
Jodhpur,2020-05,1554,1203,159,142,682,110
Jodhpur,2020-06,1556,1453,159,155,794,112
Jodhpur,2020-07,1558,1380,160,145,854,118
Jodhpur,2020-08,1559,1516,160,160,814,131
Jodhpur,2020-09,1561,1258,160,133,529,194
Jodhpur,2020-10,1562,1173,160,126,722,142
Jodhpur,2020-11,1564,1246,161,141,735,125
Jodhpur,2020-12,1565,1351,161,157,563,147
Jodhpur,2021-01,1567,1175,161,127,779,154
Jodhpur,2021-02,1568,1340,161,151,762,169
Jodhpur,2021-03,1570,1089,162,127,771,127
Jodhpur,2021-04,1571,1238,162,136,613,165
Jodhpur,2021-05,1573,1240,162,140,753,116
Jodhpur,2021-06,1574,1558,162,162,658,167
Jodhpur,2021-07,1576,1478,163,162,528,161
Jodhpur,2021-08,1577,1403,163,158,617,192
Jodhpur,2021-09,1579,1161,163,129,711,141
Jodhpur,2021-10,1580,1038,164,116,784,145
Jodhpur,2021-11,1582,1073,164,117,704,146
Jodhpur,2021-12,1584,897,164,98,727,209
Jodhpur,2022-01,1585,1044,164,113,838,154
Jodhpur,2022-02,1587,1259,165,148,859,149
Jodhpur,2022-03,1588,891,165,96,694,210
Jodhpur,2022-04,1590,1085,165,116,539,154
Jodhpur,2022-05,1591,1007,165,111,543,121
Jodhpur,2022-06,1593,1156,166,128,846,153
Jodhpur,2022-07,1594,1578,166,166,845,202
Jodhpur,2022-08,1596,1463,166,153,863,117
Jodhpur,2022-09,1597,1112,166,116,554,142
Jodhpur,2022-10,1599,1118,167,123,614,146
Jodhpur,2022-11,1600,1045,167,126,528,203
Jodhpur,2022-12,1602,1056,167,114,801,144
Jodhpur,2023-01,1603,1000,167,112,728,127
Jodhpur,2023-02,1605,992,168,121,836,212
Jodhpur,2023-03,1607,1044,168,111,580,217
Jodhpur,2023-04,1608,1081,168,116,831,159
Jodhpur,2023-05,1610,1081,168,117,601,155
Jodhpur,2023-06,1611,1121,169,124,736,193
Jodhpur,2023-07,1613,1165,169,124,844,145
Jodhpur,2023-08,1614,1170,169,130,525,121
Jodhpur,2023-09,1616,1081,169,115,813,221
Jodhpur,2023-10,1617,1094,170,132,729,205
Jodhpur,2023-11,1619,904,170,97,861,186
Jodhpur,2023-12,1620,942,170,100,852,204
Jodhpur,2024-01,1622,984,171,104,542,198
Jodhpur,2024-02,1623,1150,171,133,644,172
Jodhpur,2024-03,1625,1066,171,126,661,180
Jodhpur,2024-04,1626,1127,171,129,751,208
Jodhpur,2024-05,1628,1211,172,142,786,207
Jodhpur,2024-06,1629,1069,172,129,707,158
Jodhpur,2024-07,1631,1164,172,130,863,132
Jodhpur,2024-08,1633,1207,172,139,774,185
Jodhpur,2024-09,1634,1029,173,119,538,144
Jodhpur,2024-10,1636,1201,173,128,667,123
Jodhpur,2024-11,1637,987,173,115,666,174
Jodhpur,2024-12,1639,916,173,114,633,210
Jodhpur,2025-01,1640,989,174,119,546,220
Jodhpur,2025-02,1642,1043,174,121,801,213
Jodhpur,2025-03,1643,1118,174,139,677,130
Jodhpur,2025-04,1645,1288,174,159,776,178
Jodhpur,2025-05,1646,1222,175,132,691,198
Jodhpur,2025-06,1648,1250,175,138,631,224
Jodhpur,2025-07,1649,1420,175,175,813,139
Jodhpur,2025-08,1651,1332,175,144,776,185
Jodhpur,2025-09,1652,956,176,106,844,119
Jodhpur,2025-10,1654,1103,176,127,868,225
Jodhpur,2025-11,1655,1107,176,134,813,207
Jodhpur,2025-12,1657,1159,176,134,820,134
Udaipur,2019-01,1886,1175,194,124,802,160
Udaipur,2019-02,1888,1134,194,117,751,225
Udaipur,2019-03,1890,1381,195,162,624,181
Udaipur,2019-04,1892,1532,195,169,969,223
Udaipur,2019-05,1894,1200,195,138,733,203
Udaipur,2019-06,1895,1216,196,145,966,176
Udaipur,2019-07,1897,1724,196,196,829,260
Udaipur,2019-08,1899,1408,196,160,970,188
Udaipur,2019-09,1901,1590,197,193,764,198
Udaipur,2019-10,1903,1208,197,143,826,152
Udaipur,2019-11,1905,1464,197,172,758,149
Udaipur,2019-12,1907,1215,198,130,805,200
Udaipur,2020-01,1909,1264,198,152,985,227
Udaipur,2020-02,1911,1481,198,159,768,216
Udaipur,2020-03,1912,1415,199,155,635,216
Udaipur,2020-04,1914,1597,199,193,731,155
Udaipur,2020-05,1916,1525,199,172,872,203
Udaipur,2020-06,1918,1899,199,199,639,247
Udaipur,2020-07,1920,1893,200,200,962,250
Udaipur,2020-08,1922,1612,200,189,878,231
Udaipur,2020-09,1924,1734,200,185,823,250
Udaipur,2020-10,1926,1555,201,186,707,258
Udaipur,2020-11,1927,1435,201,152,738,202
Udaipur,2020-12,1929,1600,201,176,1007,137
Udaipur,2021-01,1931,1424,202,158,778,139
Udaipur,2021-02,1933,1266,202,154,655,222
Udaipur,2021-03,1935,1323,202,152,629,263
Udaipur,2021-04,1937,1368,203,144,730,196
Udaipur,2021-05,1939,1862,203,196,644,173
Udaipur,2021-06,1941,1714,203,181,901,214
Udaipur,2021-07,1943,1684,204,183,950,194
Udaipur,2021-08,1944,1835,204,202,881,202
Udaipur,2021-09,1946,1475,204,170,887,175
Udaipur,2021-10,1948,1736,205,184,668,197
Udaipur,2021-11,1950,1016,205,118,720,240
Udaipur,2021-12,1952,1177,205,145,929,195
Udaipur,2022-01,1954,1307,206,139,778,272
Udaipur,2022-02,1956,1112,206,124,667,237
Udaipur,2022-03,1958,1269,206,143,954,200
Udaipur,2022-04,1960,1395,207,150,662,241
Udaipur,2022-05,1961,1420,207,153,714,143
Udaipur,2022-06,1963,1360,207,157,1054,269
Udaipur,2022-07,1965,1465,208,165,990,181
Udaipur,2022-08,1967,1420,208,171,877,169
Udaipur,2022-09,1969,1277,208,146,1024,222
Udaipur,2022-10,1971,1169,209,139,844,219
Udaipur,2022-11,1973,1361,209,147,884,154
Udaipur,2022-12,1975,1245,209,142,770,275
Udaipur,2023-01,1977,1611,210,184,1026,174
Udaipur,2023-02,1978,1166,210,137,829,162
Udaipur,2023-03,1980,1313,210,142,994,174
Udaipur,2023-04,1982,1278,210,154,660,236
Udaipur,2023-05,1984,1225,211,135,752,240
Udaipur,2023-06,1986,1443,211,167,961,185
Udaipur,2023-07,1988,1423,211,158,905,239
Udaipur,2023-08,1990,1167,212,126,770,217
Udaipur,2023-09,1992,1428,212,165,801,205
Udaipur,2023-10,1994,1393,212,173,909,142
Udaipur,2023-11,1995,1202,213,130,796,184
Udaipur,2023-12,1997,1259,213,143,883,170
Udaipur,2024-01,1999,1269,213,159,928,156
Udaipur,2024-02,2001,1242,214,150,972,180
Udaipur,2024-03,2003,1045,214,122,957,158
Udaipur,2024-04,2005,1250,214,135,646,148
Udaipur,2024-05,2007,1369,215,152,700,197
Udaipur,2024-06,2009,1344,215,153,1065,165
Udaipur,2024-07,2010,1591,215,196,1001,189
Udaipur,2024-08,2012,1441,216,161,934,199
Udaipur,2024-09,2014,1541,216,188,816,226
Udaipur,2024-10,2016,1463,216,170,764,262
