city,corridor,month,congestion_index,avg_speed_kmph,incidents
Delhi,Airport Expressway,2019-12,73.6,28.8,21
Delhi,Airport Expressway,2020-01,74.7,28.7,25
Delhi,Airport Expressway,2020-02,73.5,25.7,19
Delhi,Airport Expressway,2020-03,71.9,24.7,29
Delhi,Airport Expressway,2020-04,68.4,29.3,22
Delhi,Airport Expressway,2020-05,67.9,28.6,14
Delhi,Airport Expressway,2020-06,60.4,33.2,29
Delhi,Airport Expressway,2020-07,62.3,31.4,25
Delhi,Airport Expressway,2020-08,67,33.4,11
Delhi,Airport Expressway,2020-09,73.7,24.1,24
Delhi,Airport Expressway,2020-10,67.8,29.6,27
Delhi,Airport Expressway,2020-11,93.7,15.8,18
Delhi,Airport Expressway,2020-12,79.6,25.7,33
Delhi,Airport Expressway,2021-01,72.3,28.3,11
Delhi,Airport Expressway,2021-02,70.5,27.9,19
Delhi,Airport Expressway,2021-03,72.9,26.2,26
Delhi,Airport Expressway,2021-04,67.5,31,19
Delhi,Airport Expressway,2021-05,66.8,31.7,30
Delhi,Airport Expressway,2021-06,63.7,35.1,15
Delhi,Airport Expressway,2021-07,61.6,30.1,20
Delhi,Airport Expressway,2021-08,65.9,32.2,29
Delhi,Airport Expressway,2021-09,69,27.8,22
Delhi,Airport Expressway,2021-10,71.8,23.9,26
Delhi,Airport Expressway,2021-11,71.9,29.8,12
Delhi,Airport Expressway,2021-12,74.1,23.2,23
Delhi,Airport Expressway,2022-01,76.1,24.8,21
Delhi,Airport Expressway,2022-02,75.4,27.6,16
Delhi,Airport Expressway,2022-03,66.9,30.6,12
Delhi,Airport Expressway,2022-04,67.7,31.5,24
Delhi,Airport Expressway,2022-05,67.5,29.8,29
Delhi,Airport Expressway,2022-06,61.8,33.1,10
Delhi,Airport Expressway,2022-07,62.7,35.4,21
Delhi,Airport Expressway,2022-08,69.7,27.7,24
Delhi,Airport Expressway,2022-09,74.3,27.8,35
Delhi,Airport Expressway,2022-10,75.2,27.4,14
Delhi,Airport Expressway,2022-11,71.9,28,24
Delhi,Airport Expressway,2022-12,76.4,19.4,19
Delhi,Airport Expressway,2023-01,79,23.6,14
Delhi,Airport Expressway,2023-02,73.1,24,24
Delhi,Airport Expressway,2023-03,76,27.8,26
Delhi,Airport Expressway,2023-04,65.3,28.1,31
Delhi,Airport Expressway,2023-05,71.7,29.5,18
Delhi,Airport Expressway,2023-06,70.5,32.2,19
Delhi,Airport Expressway,2023-07,68.7,29.6,16
Delhi,Airport Expressway,2023-08,66.7,31,10
Delhi,Airport Expressway,2023-09,75.3,25.4,14
Delhi,Airport Expressway,2023-10,69.8,25.3,25
Delhi,Airport Expressway,2023-11,79.5,27.7,39
Delhi,Airport Expressway,2023-12,81.9,21.3,40
Delhi,Airport Expressway,2024-01,79.6,21.4,27
Delhi,Airport Expressway,2024-02,70.9,29.7,35
Delhi,Airport Expressway,2024-03,72.5,28.8,14
Delhi,Airport Expressway,2024-04,69.7,27.5,24
Delhi,Airport Expressway,2024-05,68.9,26.6,14
Delhi,Airport Expressway,2024-06,65.2,33.9,21
Delhi,Airport Expressway,2024-07,64.2,30,31
Delhi,Airport Expressway,2024-08,66.3,29.7,29
Delhi,Airport Expressway,2024-09,74.9,27.5,36
Delhi,Airport Expressway,2024-10,72.4,27.3,24
Delhi,Airport Expressway,2024-11,81.2,20.1,26
Delhi,Airport Expressway,2024-12,78,25.6,21
Delhi,Airport Expressway,2025-01,80.8,20.7,29
Delhi,Airport Expressway,2025-02,77.4,25.6,17
Delhi,Airport Expressway,2025-03,73.2,29.4,21
Delhi,Airport Expressway,2025-04,69.8,28.9,16
Delhi,Airport Expressway,2025-05,68.1,29,20
Delhi,Airport Expressway,2025-06,67.1,28.9,31
Delhi,Airport Expressway,2025-07,71.4,28.2,22
Delhi,Airport Expressway,2025-08,68.7,24.9,13
Delhi,Airport Expressway,2025-09,75,22.4,35
Delhi,Airport Expressway,2025-10,75.9,23.4,26
Delhi,Airport Expressway,2025-11,77.6,20.5,16
Delhi,Airport Expressway,2025-12,83.8,20.1,30
Delhi,Old City Arterial,2019-01,81.4,23.9,21
Delhi,Old City Arterial,2019-02,76.7,26.2,37
Delhi,Old City Arterial,2019-03,76.8,26.8,29
Delhi,Old City Arterial,2019-04,72.7,26.6,26
Delhi,Old City Arterial,2019-05,74.7,25.3,20
Delhi,Old City Arterial,2019-06,72.9,28,14
Delhi,Old City Arterial,2019-07,66.6,32.2,29
Delhi,Old City Arterial,2019-08,68.3,33.5,30
Delhi,Old City Arterial,2019-09,76.7,24.2,15
Delhi,Old City Arterial,2019-10,82.3,21.6,27
Delhi,Old City Arterial,2019-11,79.2,18.5,35
Delhi,Old City Arterial,2019-12,87,18.1,42
Delhi,Old City Arterial,2020-01,85.4,21,18
Delhi,Old City Arterial,2020-02,80,20.4,30
Delhi,Old City Arterial,2020-03,80.5,22,23
Delhi,Old City Arterial,2020-04,76.2,21.4,31
Delhi,Old City Arterial,2020-05,68.6,27.4,12
Delhi,Old City Arterial,2020-06,66.8,30.4,19
Delhi,Old City Arterial,2020-07,73.1,24.8,28
Delhi,Old City Arterial,2020-08,72.9,25.5,12
Delhi,Old City Arterial,2020-09,72.1,30.4,21
Delhi,Old City Arterial,2020-10,74.3,24.9,23
Delhi,Old City Arterial,2020-11,81.6,21.9,20
Delhi,Old City Arterial,2020-12,77.6,24.8,21
Delhi,Old City Arterial,2021-01,77.9,21.4,13
Delhi,Old City Arterial,2021-02,81.1,20.3,31
Delhi,Old City Arterial,2021-03,82.5,22.1,22
Delhi,Old City Arterial,2021-04,74.4,24.7,12
Delhi,Old City Arterial,2021-05,68.3,30.6,27
Delhi,Old City Arterial,2021-06,74,28,15
Delhi,Old City Arterial,2021-07,73,27.9,27
Delhi,Old City Arterial,2021-08,73.1,26.4,32
Delhi,Old City Arterial,2021-09,77.8,24,35
Delhi,Old City Arterial,2021-10,82.3,23.4,34
Delhi,Old City Arterial,2021-11,77.6,21.9,15
Delhi,Old City Arterial,2021-12,88.2,21.4,39
Delhi,Old City Arterial,2022-01,84.9,23.9,29
Delhi,Old City Arterial,2022-02,84.6,21.7,32
Delhi,Old City Arterial,2022-03,73.3,26.3,23
Delhi,Old City Arterial,2022-04,80.3,21.3,29
Delhi,Old City Arterial,2022-05,75.5,25.8,16
Delhi,Old City Arterial,2022-06,73.1,27.5,22
Delhi,Old City Arterial,2022-07,74.9,27.5,29
Delhi,Old City Arterial,2022-08,73.5,25.4,12
Delhi,Old City Arterial,2022-09,78.2,22,26
Delhi,Old City Arterial,2022-10,83.1,19.1,14
Delhi,Old City Arterial,2022-11,81.3,23.3,23
Delhi,Old City Arterial,2022-12,90.4,17.4,37
Delhi,Old City Arterial,2023-01,79.4,25.4,24
Delhi,Old City Arterial,2023-02,88.2,21.3,21
Delhi,Old City Arterial,2023-03,74.9,25,18
Delhi,Old City Arterial,2023-04,75.6,23.6,21
Delhi,Old City Arterial,2023-05,78.7,24.9,13
Delhi,Old City Arterial,2023-06,84,26.2,22
Delhi,Old City Arterial,2023-07,79.1,26.5,39
Delhi,Old City Arterial,2023-08,71.8,26.2,25
Delhi,Old City Arterial,2023-09,78.4,28,36
Delhi,Old City Arterial,2023-10,83.6,19.4,29
Delhi,Old City Arterial,2023-11,83.9,19,26
Delhi,Old City Arterial,2023-12,89.5,17.6,25
Delhi,Old City Arterial,2024-01,89.4,16.3,42
Delhi,Old City Arterial,2024-02,80.2,24.8,28
Delhi,Old City Arterial,2024-03,81.5,23.3,25
Delhi,Old City Arterial,2024-04,73.2,25.2,37
Delhi,Old City Arterial,2024-05,79.5,24.3,22
Delhi,Old City Arterial,2024-06,78.9,25.7,34
Delhi,Old City Arterial,2024-07,80.5,24.7,13
Delhi,Old City Arterial,2024-08,75.2,24.2,30
Delhi,Old City Arterial,2024-09,82,16.3,35
Delhi,Old City Arterial,2024-10,84,21.4,14
Delhi,Old City Arterial,2024-11,82.3,24.1,33
Delhi,Old City Arterial,2024-12,82.9,22.4,29
Delhi,Old City Arterial,2025-01,81.2,26.5,18
Delhi,Old City Arterial,2025-02,78.7,23.7,34
Delhi,Old City Arterial,2025-03,75.6,26.3,12
Delhi,Old City Arterial,2025-04,80.5,25.9,37
Delhi,Old City Arterial,2025-05,79.2,24.4,28
Delhi,Old City Arterial,2025-06,73.3,27,30
Delhi,Old City Arterial,2025-07,74.2,26.9,27
Delhi,Old City Arterial,2025-08,81.8,24.2,18
Delhi,Old City Arterial,2025-09,76.4,21.3,23
Delhi,Old City Arterial,2025-10,91.6,16.9,21
Delhi,Old City Arterial,2025-11,89.9,19.3,23
Delhi,Old City Arterial,2025-12,93.9,18.6,31
Mumbai,Ring Road,2019-01,46.2,43.2,8
Mumbai,Ring Road,2019-02,44.8,41.2,16
Mumbai,Ring Road,2019-03,41.9,41.4,6
Mumbai,Ring Road,2019-04,42.7,41.9,15
Mumbai,Ring Road,2019-05,40.8,42,8
Mumbai,Ring Road,2019-06,40.8,42.1,15
Mumbai,Ring Road,2019-07,42.8,43.1,14
Mumbai,Ring Road,2019-08,42,37.5,13
Mumbai,Ring Road,2019-09,42.1,46.2,9
Mumbai,Ring Road,2019-10,43.6,37.6,18
Mumbai,Ring Road,2019-11,45.1,41,15
Mumbai,Ring Road,2019-12,44.5,44.4,11
Mumbai,Ring Road,2020-01,45.6,38.5,11
Mumbai,Ring Road,2020-02,48.1,40.6,14
Mumbai,Ring Road,2020-03,42.3,38.9,16
Mumbai,Ring Road,2020-04,43,42.4,18
Mumbai,Ring Road,2020-05,44.3,43.3,20
Mumbai,Ring Road,2020-06,40,39.1,13
Mumbai,Ring Road,2020-07,41.9,40.1,21
Mumbai,Ring Road,2020-08,45.2,38.6,19
Mumbai,Ring Road,2020-09,41.9,43.8,10
Mumbai,Ring Road,2020-10,43.6,41.8,17
Mumbai,Ring Road,2020-11,44.9,43.4,11
Mumbai,Ring Road,2020-12,51.8,35.5,17
Mumbai,Ring Road,2021-01,48.7,37.5,8
Mumbai,Ring Road,2021-02,45.3,39.1,19
Mumbai,Ring Road,2021-03,45.4,39.4,20
Mumbai,Ring Road,2021-04,42.7,41.4,10
Mumbai,Ring Road,2021-05,43.9,39.6,17
Mumbai,Ring Road,2021-06,40.9,42.3,11
Mumbai,Ring Road,2021-07,41.1,38.8,18
Mumbai,Ring Road,2021-08,43.3,45.7,14
Mumbai,Ring Road,2021-09,47.5,39.3,14
Mumbai,Ring Road,2021-10,45.3,42.8,7
Mumbai,Ring Road,2021-11,45.9,39.6,13
Mumbai,Ring Road,2021-12,45.9,42.4,13
Mumbai,Ring Road,2022-01,49.1,40.4,22
Mumbai,Ring Road,2022-02,44.8,40.3,19
Mumbai,Ring Road,2022-03,47.2,39,15
Mumbai,Ring Road,2022-04,42.7,39.1,19
Mumbai,Ring Road,2022-05,42.8,40.6,11
Mumbai,Ring Road,2022-06,39.3,46.1,15
Mumbai,Ring Road,2022-07,45.7,36.1,22
Mumbai,Ring Road,2022-08,41.6,42,8
Mumbai,Ring Road,2022-09,44.1,36.9,22
Mumbai,Ring Road,2022-10,49.5,32.3,11
Mumbai,Ring Road,2022-11,50.7,36.2,25
Mumbai,Ring Road,2022-12,51.8,38.2,20
Mumbai,Ring Road,2023-01,49,42.6,17
Mumbai,Ring Road,2023-02,49.6,37.4,12
Mumbai,Ring Road,2023-03,48.5,39,20
Mumbai,Ring Road,2023-04,41.4,42.1,9
Mumbai,Ring Road,2023-05,46.6,42,21
Mumbai,Ring Road,2023-06,45.2,42.4,9
Mumbai,Ring Road,2023-07,44.6,39,10
Mumbai,Ring Road,2023-08,47.8,40,16
Mumbai,Ring Road,2023-09,49.4,39.1,9
Mumbai,Ring Road,2023-10,46.5,40.7,23
Mumbai,Ring Road,2023-11,51.7,39.4,13
Mumbai,Ring Road,2023-12,49.7,37.4,10
Mumbai,Ring Road,2024-01,48.6,39.1,21
Mumbai,Ring Road,2024-02,48.9,39.7,17
Mumbai,Ring Road,2024-03,44.5,43.5,9
Mumbai,Ring Road,2024-04,47.6,37,9
Mumbai,Ring Road,2024-05,45,40.5,21
Mumbai,Ring Road,2024-06,45.9,38.9,7
Mumbai,Ring Road,2024-07,43.9,40.7,16
Mumbai,Ring Road,2024-08,48.4,37.3,18
Mumbai,Ring Road,2024-09,48.3,35.2,19
Mumbai,Ring Road,2024-10,51.2,37.2,17
Mumbai,Ring Road,2024-11,50.8,36.3,12
Mumbai,Ring Road,2024-12,48,33.4,18
Mumbai,Ring Road,2025-01,49.6,37.4,19
Mumbai,Ring Road,2025-02,48.3,36.1,18
Mumbai,Ring Road,2025-03,44.4,40.3,11
Mumbai,Ring Road,2025-04,46.2,41.5,16
Mumbai,Ring Road,2025-05,47.4,38.1,9
Mumbai,Ring Road,2025-06,46.4,38.2,12
Mumbai,Ring Road,2025-07,41.4,41,7
Mumbai,Ring Road,2025-08,45.3,37.8,9
Mumbai,Ring Road,2025-09,50.4,38.8,17
Mumbai,Ring Road,2025-10,63,29.4,11
Mumbai,Ring Road,2025-11,48.1,38.4,22
Mumbai,Ring Road,2025-12,50,39.6,20
Mumbai,Airport Expressway,2019-01,63.2,33.3,16
Mumbai,Airport Expressway,2019-02,56.4,33.8,27
Mumbai,Airport Expressway,2019-03,57.8,35.9,27
Mumbai,Airport Expressway,2019-04,51,35.8,19
Mumbai,Airport Expressway,2019-05,53.2,35.7,18
Mumbai,Airport Expressway,2019-06,50.2,39.1,18
Mumbai,Airport Expressway,2019-07,51.5,39.3,16
Mumbai,Airport Expressway,2019-08,58.1,30.8,12
Mumbai,Airport Expressway,2019-09,54.7,35.7,20
Mumbai,Airport Expressway,2019-10,58.4,34.6,9
Mumbai,Airport Expressway,2019-11,58.2,32.6,14
Mumbai,Airport Expressway,2019-12,63,32.7,22
Mumbai,Airport Expressway,2020-01,64.4,27.2,28
Mumbai,Airport Expressway,2020-02,61.6,30.2,20
Mumbai,Airport Expressway,2020-03,59.6,34.1,23
Mumbai,Airport Expressway,2020-04,55.2,33.1,14
Mumbai,Airport Expressway,2020-05,50.4,38,15
Mumbai,Airport Expressway,2020-06,53.1,40.2,24
Mumbai,Airport Expressway,2020-07,49.4,41.4,10
Mumbai,Airport Expressway,2020-08,50.8,33.3,18
Mumbai,Airport Expressway,2020-09,53.9,37.9,20
Mumbai,Airport Expressway,2020-10,58.5,35.8,22
Mumbai,Airport Expressway,2020-11,63.4,34.3,17
Mumbai,Airport Expressway,2020-12,63.8,29.5,31
Mumbai,Airport Expressway,2021-01,65.1,28.4,24
Mumbai,Airport Expressway,2021-02,61,33,25
Mumbai,Airport Expressway,2021-03,60.9,32,26
Mumbai,Airport Expressway,2021-04,54.8,37,10
Mumbai,Airport Expressway,2021-05,53.4,38,15
Mumbai,Airport Expressway,2021-06,49.3,39.6,23
Mumbai,Airport Expressway,2021-07,56.4,36.4,12
Mumbai,Airport Expressway,2021-08,59.1,31.6,24
Mumbai,Airport Expressway,2021-09,56.3,30.9,18
Mumbai,Airport Expressway,2021-10,62.3,31.4,21
Mumbai,Airport Expressway,2021-11,66.3,30.7,31
Mumbai,Airport Expressway,2021-12,62.2,30.4,31
Mumbai,Airport Expressway,2022-01,62.8,35.7,13
Mumbai,Airport Expressway,2022-02,63.3,30.6,25
Mumbai,Airport Expressway,2022-03,58.9,31.5,13
Mumbai,Airport Expressway,2022-04,57,33.6,10
Mumbai,Airport Expressway,2022-05,51.3,36.6,8
Mumbai,Airport Expressway,2022-06,54,34.9,25
Mumbai,Airport Expressway,2022-07,53.5,35.5,17
Mumbai,Airport Expressway,2022-08,52.9,35.7,22
Mumbai,Airport Expressway,2022-09,61.3,34.9,28
Mumbai,Airport Expressway,2022-10,59.6,32,17
Mumbai,Airport Expressway,2022-11,64.8,30.3,29
Mumbai,Airport Expressway,2022-12,62.7,32.4,26
Mumbai,Airport Expressway,2023-01,63.8,32,21
Mumbai,Airport Expressway,2023-02,63.4,33.3,21
Mumbai,Airport Expressway,2023-03,61.2,35.8,14
Mumbai,Airport Expressway,2023-04,56.4,35.1,22
Mumbai,Airport Expressway,2023-05,52.1,37.1,13
Mumbai,Airport Expressway,2023-06,51.8,36.4,15
Mumbai,Airport Expressway,2023-07,54.7,35,17
Mumbai,Airport Expressway,2023-08,54.6,31.7,25
Mumbai,Airport Expressway,2023-09,61.1,30.5,22
Mumbai,Airport Expressway,2023-10,60.9,30.3,15
Mumbai,Airport Expressway,2023-11,63,33,27
Mumbai,Airport Expressway,2023-12,64.8,36.8,22
Mumbai,Airport Expressway,2024-01,65,29.6,27
Mumbai,Airport Expressway,2024-02,60.6,30.9,27
Mumbai,Airport Expressway,2024-03,61.1,33.6,23
Mumbai,Airport Expressway,2024-04,55.5,40.5,12
Mumbai,Airport Expressway,2024-05,60.2,31.1,23
Mumbai,Airport Expressway,2024-06,58.5,33.8,16
Mumbai,Airport Expressway,2024-07,67.9,31.4,34
Mumbai,Airport Expressway,2024-08,60.8,33.9,19
Mumbai,Airport Expressway,2024-09,64.7,28.3,28
Mumbai,Airport Expressway,2024-10,65.2,33.6,18
Mumbai,Airport Expressway,2024-11,68.6,28.3,14
Mumbai,Airport Expressway,2024-12,62.1,29.6,29
Mumbai,Airport Expressway,2025-01,69.6,28.6,32
Mumbai,Airport Expressway,2025-02,61.1,33.8,19
Mumbai,Airport Expressway,2025-03,64.9,28.1,13
Mumbai,Airport Expressway,2025-04,54.9,32.5,10
Mumbai,Airport Expressway,2025-05,55.7,34.1,15
Mumbai,Airport Expressway,2025-06,53.5,38.9,13
Mumbai,Airport Expressway,2025-07,54.8,40.1,13
Mumbai,Airport Expressway,2025-08,56.7,35,16
Mumbai,Airport Expressway,2025-09,59.8,32.6,12
Mumbai,Airport Expressway,2025-10,63.2,32.9,14
Mumbai,Airport Expressway,2025-11,66.2,30.8,10
Mumbai,Airport Expressway,2025-12,63.7,31,19
Mumbai,Old City Arterial,2019-01,71.9,28.7,15
Mumbai,Old City Arterial,2019-02,71.6,25.2,20
Mumbai,Old City Arterial,2019-03,65.2,26.9,24
Mumbai,Old City Arterial,2019-04,69.1,29.4,16
Mumbai,Old City Arterial,2019-05,66.1,27.7,12
Mumbai,Old City Arterial,2019-06,66.7,28.8,29
Mumbai,Old City Arterial,2019-07,65,28,19
Mumbai,Old City Arterial,2019-08,71.1,31,16
Mumbai,Old City Arterial,2019-09,71.6,28,36
Mumbai,Old City Arterial,2019-10,68.5,31,15
Mumbai,Old City Arterial,2019-11,75.5,29.1,29
Mumbai,Old City Arterial,2019-12,77.6,24.9,16
Mumbai,Old City Arterial,2020-01,74.7,25.2,20
Mumbai,Old City Arterial,2020-02,76.1,23.1,29
Mumbai,Old City Arterial,2020-03,65.9,33.8,18
Mumbai,Old City Arterial,2020-04,65.3,32.5,26
Mumbai,Old City Arterial,2020-05,69.4,29.2,25
Mumbai,Old City Arterial,2020-06,62.9,30.4,13
Mumbai,Old City Arterial,2020-07,64,30.6,31
Mumbai,Old City Arterial,2020-08,64.4,33.7,24
Mumbai,Old City Arterial,2020-09,73.4,31.3,12
Mumbai,Old City Arterial,2020-10,78.6,22.8,31
Mumbai,Old City Arterial,2020-11,70.9,27.8,19
Mumbai,Old City Arterial,2020-12,76.9,24.4,23
Mumbai,Old City Arterial,2021-01,79,25.9,33
Mumbai,Old City Arterial,2021-02,73.1,23.3,26
Mumbai,Old City Arterial,2021-03,75.2,26.2,22
Mumbai,Old City Arterial,2021-04,72.9,26.2,25
Mumbai,Old City Arterial,2021-05,71.6,27.5,33
Mumbai,Old City Arterial,2021-06,67.4,32,24
Mumbai,Old City Arterial,2021-07,66.6,29.1,26
Mumbai,Old City Arterial,2021-08,65.2,33.6,31
Mumbai,Old City Arterial,2021-09,67.9,30.1,21
Mumbai,Old City Arterial,2021-10,78.7,24.4,16
Mumbai,Old City Arterial,2021-11,72.1,31,22
Mumbai,Old City Arterial,2021-12,74.9,26.9,17
Mumbai,Old City Arterial,2022-01,78.8,26.9,15
Mumbai,Old City Arterial,2022-02,74.4,26.7,22
Mumbai,Old City Arterial,2022-03,77.6,21.3,19
Mumbai,Old City Arterial,2022-04,70.7,29.9,30
Mumbai,Old City Arterial,2022-05,62.7,32.7,12
Mumbai,Old City Arterial,2022-06,62.9,32.5,10
Mumbai,Old City Arterial,2022-07,65.6,30.2,15
Mumbai,Old City Arterial,2022-08,75.3,28.8,15
Mumbai,Old City Arterial,2022-09,76.2,26.9,14
Mumbai,Old City Arterial,2022-10,74.4,28.8,24
Mumbai,Old City Arterial,2022-11,74.1,26.2,33
Mumbai,Old City Arterial,2022-12,83.5,24.1,23
Mumbai,Old City Arterial,2023-01,83.1,22.5,38
Mumbai,Old City Arterial,2023-02,79,24.1,17
Mumbai,Old City Arterial,2023-03,71.9,26.2,20
Mumbai,Old City Arterial,2023-04,69.1,26.2,10
Mumbai,Old City Arterial,2023-05,72.6,27.6,18
Mumbai,Old City Arterial,2023-06,69,28.2,15
Mumbai,Old City Arterial,2023-07,68.9,27.3,13
Mumbai,Old City Arterial,2023-08,75,29,22
Mumbai,Old City Arterial,2023-09,79.3,23,28
Mumbai,Old City Arterial,2023-10,77.1,24.2,31
Mumbai,Old City Arterial,2023-11,81.5,23.9,28
Mumbai,Old City Arterial,2023-12,80.3,27.4,18
Mumbai,Old City Arterial,2024-01,85,19.2,25
Mumbai,Old City Arterial,2024-02,79.8,22.3,38
Mumbai,Old City Arterial,2024-03,73.8,28.3,20
Mumbai,Old City Arterial,2024-04,74.9,28.4,36
Mumbai,Old City Arterial,2024-05,72.2,28.9,30
Mumbai,Old City Arterial,2024-06,64.8,34.6,21
Mumbai,Old City Arterial,2024-07,67.1,33,20
Mumbai,Old City Arterial,2024-08,75.1,24.2,14
Mumbai,Old City Arterial,2024-09,77.3,25.4,29
Mumbai,Old City Arterial,2024-10,72.5,28.5,13
Mumbai,Old City Arterial,2024-11,78.1,27.7,35
Mumbai,Old City Arterial,2024-12,84,20.5,26
Mumbai,Old City Arterial,2025-01,79.2,22.5,26
Mumbai,Old City Arterial,2025-02,84.3,23.7,15
Mumbai,Old City Arterial,2025-03,70.5,29.2,18
Mumbai,Old City Arterial,2025-04,70,29.5,18
Mumbai,Old City Arterial,2025-05,67.2,28.8,33
Mumbai,Old City Arterial,2025-06,72,26.8,18
Mumbai,Old City Arterial,2025-07,74.4,27.2,14
Mumbai,Old City Arterial,2025-08,74.8,22.8,32
Mumbai,Old City Arterial,2025-09,75.8,26.5,14
Mumbai,Old City Arterial,2025-10,75.8,26.5,33
Mumbai,Old City Arterial,2025-11,81.6,23,15
Mumbai,Old City Arterial,2025-12,78,22.5,22
Kolkata,Ring Road,2019-01,53.8,32.1,9
Kolkata,Ring Road,2019-02,59.5,36.2,29
Kolkata,Ring Road,2019-03,50.2,38.2,20
Kolkata,Ring Road,2019-04,49.7,37.7,18
