district,month,calls,avg_response_min,p90_response_min,vehicles,hotspot_index
Pune,2023-06,6497,20.5,37.8,41,100
Pune,2023-07,7287,21.2,35.5,41,100
Pune,2023-08,7346,23.2,36.4,41,100
Pune,2023-09,7077,21.9,36,41,100
Pune,2023-10,7500,19.3,31.4,41,100
Pune,2023-11,7445,21.4,34,41,100
Pune,2023-12,6924,21.1,34.5,41,100
Pune,2024-01,6766,20.7,38.3,42,100
Pune,2024-02,6328,18.7,31.6,42,98.8
Pune,2024-03,6187,19.5,36.5,42,97.7
Pune,2024-04,6379,19.7,36.4,42,100
Pune,2024-05,6506,19.9,34,42,100
Pune,2024-06,7235,21.3,38.9,42,100
Pune,2024-07,6996,20.9,39.9,42,100
Pune,2024-08,7725,21.7,34.2,42,100
Pune,2024-09,7854,21.8,42.1,42,100
Pune,2024-10,7771,23.1,41.4,42,100
Pune,2024-11,7328,23.1,41.7,42,100
Pune,2024-12,6690,21,37.1,42,100
Pune,2025-01,6491,20.4,36,42,100
Pune,2025-02,6546,19.3,37,42,100
Pune,2025-03,6704,20.8,37.6,42,100
Pune,2025-04,6315,19.4,37.3,42,97.5
Pune,2025-05,6463,20.3,32,42,100
Pune,2025-06,7113,20,31.6,42,100
Pune,2025-07,7708,21,34.6,42,100
Pune,2025-08,7449,35.6,61,42,100
Pune,2025-09,7543,20,37.2,42,100
Pune,2025-10,7637,22.3,42.2,42,100
Pune,2025-11,7201,21.4,37.2,42,100
Pune,2025-12,6668,21.1,35.6,42,100
Nagpur,2019-01,2483,10.5,20.2,68,39
Nagpur,2019-02,2459,10.9,19.8,68,28.7
Nagpur,2019-03,2498,10.8,17,68,37.9
Nagpur,2019-04,2301,12.8,23.2,68,37
Nagpur,2019-05,2595,10.9,19.3,68,42.4
Nagpur,2019-06,2724,12.7,23.1,68,40.7
Nagpur,2019-07,2758,18.4,30.2,68,35.1
Nagpur,2019-08,2969,10.8,17.1,68,37.2
Nagpur,2019-09,2745,10.2,15.9,68,28.5
Nagpur,2019-10,2739,10.9,20.2,68,45.2
Nagpur,2019-11,2929,11.4,18.1,68,30
Nagpur,2019-12,2597,11.5,19.3,68,28.9
Nagpur,2020-01,2459,9.7,16.8,68,43.3
Nagpur,2020-02,2531,14.3,23.7,68,22.8
Nagpur,2020-03,2390,10.4,17.2,68,21.7
Nagpur,2020-04,2598,12.1,20.9,68,32.3
Nagpur,2020-05,2462,11.3,19,68,23.5
Nagpur,2020-06,2634,12.4,23.3,68,31.5
Nagpur,2020-07,2804,11.3,18.6,68,36.7
Nagpur,2020-08,2982,10.9,19.7,68,44.4
Nagpur,2020-09,2835,11.3,20.4,68,33.2
Nagpur,2020-10,3058,10.7,20.4,68,40.9
Nagpur,2020-11,2721,9.7,16.9,68,43.8
Nagpur,2020-12,2592,12.5,22.2,68,24.9
Nagpur,2021-01,2702,11.4,19.1,68,27.7
Nagpur,2021-02,2540,11,20.7,68,27.1
Nagpur,2021-03,2444,10.2,16,68,35
Nagpur,2021-04,2362,9.8,18.4,68,21.9
Nagpur,2021-05,2615,13.8,22.2,68,36.5
Nagpur,2021-06,2660,12.1,21.3,68,37.7
Nagpur,2021-07,2993,11.5,18.7,69,48.3
Nagpur,2021-08,3054,11.9,21.5,69,39.1
Nagpur,2021-09,2952,13,24.7,69,34
Nagpur,2021-10,2791,10.3,18.5,69,33.2
Nagpur,2021-11,3027,12.8,24.9,69,34.2
Nagpur,2021-12,2865,11.8,22.2,69,27.4
Nagpur,2022-01,2772,12.8,22.1,69,35.8
Nagpur,2022-02,2410,12.1,20.3,69,28.4
Nagpur,2022-03,2546,13.2,21.7,69,41.1
Nagpur,2022-04,2487,11.6,19.7,69,28.9
Nagpur,2022-05,2726,12.1,21.9,69,39
Nagpur,2022-06,2691,10.2,19.1,69,26.9
Nagpur,2022-07,2902,13.2,21.1,69,29.1
Nagpur,2022-08,2892,11.5,22.3,69,40.1
Nagpur,2022-09,3167,11.8,18.4,69,29.7
Nagpur,2022-10,3098,11.5,18.9,69,34
Nagpur,2022-11,3034,10.6,16.7,69,30.2
Nagpur,2022-12,2871,12.6,23.5,69,36.9
Nagpur,2023-01,2687,10.1,16.1,69,45.7
Nagpur,2023-02,2757,12.1,22.8,69,44.9
Nagpur,2023-03,2566,12.1,20.9,69,24.7
Nagpur,2023-04,2528,11.9,19.9,69,41.1
Nagpur,2023-05,2628,11.8,21.1,69,31.2
Nagpur,2023-06,2713,13.4,22.2,69,41.3
Nagpur,2023-07,2840,12.1,22.1,69,44.3
Nagpur,2023-08,2971,11.8,20.2,69,45.8
Nagpur,2023-09,2999,13.5,26,69,34.7
Nagpur,2023-10,2995,11.6,19.5,69,45.9
Nagpur,2023-11,2851,10.6,19.5,69,44.6
Nagpur,2023-12,2993,12.5,19.7,69,48
Nagpur,2024-01,2822,11.8,19,70,28.2
Nagpur,2024-02,2684,9.6,16.9,70,38.5
Nagpur,2024-03,2639,13,23.2,70,36.4
Nagpur,2024-04,2657,12.5,19.9,70,40.3
Nagpur,2024-05,2748,12.3,22,70,35
Nagpur,2024-06,2954,11.7,19.2,70,37.4
Nagpur,2024-07,3092,20.3,34.4,70,29.6
Nagpur,2024-08,3022,10.9,19.9,70,37.3
Nagpur,2024-09,3219,12.2,23.4,70,47.3
Nagpur,2024-10,3263,14.9,28.7,70,32.2
Nagpur,2024-11,3110,11.6,19.8,70,44.1
Nagpur,2024-12,2817,10,17.8,70,43.1
Nagpur,2025-01,2845,10.9,18.3,70,37.4
Nagpur,2025-02,2676,13,21.1,70,28.6
Nagpur,2025-03,2775,11.3,18.8,70,37
Nagpur,2025-04,2719,11.4,20.5,70,34.4
Nagpur,2025-05,2691,12,21.9,70,28.9
Nagpur,2025-06,2925,11.2,19.6,70,30.5
Nagpur,2025-07,3033,12.3,21.3,70,46.4
Nagpur,2025-08,3309,13,23.9,70,43.4
Nagpur,2025-09,3183,12.5,20.2,70,31.6
Nagpur,2025-10,3309,12,23,70,42.6
Nagpur,2025-11,2943,14.1,22.2,70,33.5
Nagpur,2025-12,2998,10.6,17.9,70,27.6
Nashik,2019-01,1585,10.1,19.3,67,26
Nashik,2019-02,1501,9.8,19,67,20.5
Nashik,2019-03,1522,11.3,20.3,67,18.5
Nashik,2019-04,1637,9.7,18.2,67,23.9
Nashik,2019-05,1637,12,20.5,67,35.4
Nashik,2019-06,1653,10.5,19.1,67,17.6
Nashik,2019-07,1892,19.3,31,67,34.7
Nashik,2019-08,1857,11.6,19.4,67,37.6
Nashik,2019-09,1849,9.1,17.5,67,30.7
Nashik,2019-10,1997,9.9,17.5,67,39.3
Nashik,2019-11,1765,9.7,15.6,67,24.8
Nashik,2019-12,1678,9.6,18.1,67,27.1
Nashik,2020-01,1577,9.8,17.7,67,15.5
Nashik,2020-02,1630,10.4,18.4,67,28.7
Nashik,2020-03,1645,7.9,15,67,30.1
Nashik,2020-04,1673,8.9,14.1,67,27.3
Nashik,2020-05,1707,10.8,18.9,67,18.4
Nashik,2020-06,1709,10.6,19.1,67,28.9
Nashik,2020-07,1929,8.3,15.1,67,34.3
Nashik,2020-08,1974,10.2,18.2,67,37.9
Nashik,2020-09,1980,11.6,22,67,28.2
Nashik,2020-10,1937,11.1,20.1,67,29.7
Nashik,2020-11,1795,10.4,19.9,67,21.5
Nashik,2020-12,1852,13.1,21.3,67,33.4
Nashik,2021-01,1700,13,22.7,67,29.2
Nashik,2021-02,1649,11.9,20,67,27.9
Nashik,2021-03,1597,11.3,18.2,67,23.8
Nashik,2021-04,1634,9.6,17.1,67,25.3
Nashik,2021-05,1659,11.7,18.3,67,17.8
Nashik,2021-06,1888,10.3,17.2,67,38.5
Nashik,2021-07,1995,9,14.2,68,28.4
Nashik,2021-08,1970,11.5,22.4,68,26.1
Nashik,2021-09,1880,10.9,19.2,68,18.9
Nashik,2021-10,1868,11.1,21.3,68,29.3
Nashik,2021-11,1901,10,19.4,68,19.4
Nashik,2021-12,1824,11,19.1,68,28
Nashik,2022-01,1816,11.5,22.1,68,36.5
Nashik,2022-02,1731,11.1,17.4,68,35.7
Nashik,2022-03,1641,9.2,15.5,68,34.8
Nashik,2022-04,1791,11.2,19.7,68,36.6
Nashik,2022-05,1670,10.9,18.8,68,33.7
Nashik,2022-06,1893,10.3,18.5,68,28.6
Nashik,2022-07,1818,10,17.8,68,38.5
Nashik,2022-08,2047,10.1,19,68,22.8
Nashik,2022-09,2121,11.6,18.2,68,25
Nashik,2022-10,1962,8.6,14.2,68,24.2
Nashik,2022-11,1939,11.3,20.3,68,18.7
Nashik,2022-12,1965,11.1,18,68,36
Nashik,2023-01,1705,11.5,20.7,68,34.9
Nashik,2023-02,1616,9.2,15.6,68,15.4
Nashik,2023-03,1699,10.5,17,68,26.3
Nashik,2023-04,1652,8.9,16.2,68,25.6
Nashik,2023-05,1782,9.8,16.4,68,31.3
Nashik,2023-06,1943,10.2,19.8,68,30.7
Nashik,2023-07,2046,12,22.2,68,31.7
Nashik,2023-08,2034,9.7,18.2,68,23.4
Nashik,2023-09,2120,10.2,18.4,68,37.2
Nashik,2023-10,2108,11.2,20.4,68,31.4
Nashik,2023-11,2090,9.3,17.5,68,40.1
Nashik,2023-12,1906,10,17,68,24.9
Nashik,2024-01,1715,7.3,13.2,69,25.9
Nashik,2024-02,1842,11.2,20,69,38.1
Nashik,2024-03,1722,10.3,18.4,69,29.9
Nashik,2024-04,1842,11.7,21.3,69,24.7
Nashik,2024-05,1878,10.9,20.3,69,21.1
Nashik,2024-06,1954,10.5,19.6,69,37.5
Nashik,2024-07,1942,11.7,22.4,69,26.6
Nashik,2024-08,2051,11.1,20.5,69,33.1
Nashik,2024-09,2040,9.1,16,69,28.7
Nashik,2024-10,1981,10.7,17.8,69,28
Nashik,2024-11,1973,8.8,16.1,69,34.8
Nashik,2024-12,1818,10.1,16.3,69,31.4
Nashik,2025-01,1731,9.7,15.3,69,37.7
Nashik,2025-02,1685,9.5,17.3,69,35
Nashik,2025-03,1792,11.1,18.9,69,18.9
Nashik,2025-04,1843,10.8,18.2,69,26.8
Nashik,2025-05,1777,10.2,18,69,29.4
Nashik,2025-06,1929,10.2,18.7,69,24.2
Nashik,2025-07,2125,11.5,21.5,69,27.6
Nashik,2025-08,2164,10.3,18.1,69,36.6
Nashik,2025-09,2168,10.6,18.7,69,40.8
Nashik,2025-10,2132,11.6,21.8,69,31
Nashik,2025-11,1982,9.6,17.9,69,32.7
Nashik,2025-12,2046,11.1,17.5,69,20.5
Aurangabad,2019-01,3605,17.5,29.7,32,88.4
Aurangabad,2019-02,3556,15.3,24.6,32,78.6
Aurangabad,2019-03,3633,16.7,31,32,71.5
Aurangabad,2019-04,3432,14.2,22.9,32,80.9
Aurangabad,2019-05,3760,17.1,33.3,32,88.9
Aurangabad,2019-06,3985,17,30.2,32,81.8
Aurangabad,2019-07,4215,15.8,28.5,32,95.5
Aurangabad,2019-08,3981,18.5,30.5,32,93
Aurangabad,2019-09,3940,18.4,31.7,32,83.7
Aurangabad,2019-10,3932,17.9,34.7,32,75.8
Aurangabad,2019-11,4223,17.6,33.5,32,86
Aurangabad,2019-12,3825,16.5,27.7,32,84.8
Aurangabad,2020-01,3743,15.5,30,32,88.7
Aurangabad,2020-02,3535,15.1,29.1,32,87.5
Aurangabad,2020-03,3519,15.6,26.1,32,83.5
Aurangabad,2020-04,3429,14.4,27.6,32,66.4
Aurangabad,2020-05,3546,14.6,24.9,32,84
Aurangabad,2020-06,4026,17.3,27.5,32,84.9
Aurangabad,2020-07,4283,18.4,34,32,96.7
Aurangabad,2020-08,4282,17.4,30.9,32,82.3
Aurangabad,2020-09,4320,19.8,33.6,32,88.1
Aurangabad,2020-10,4212,18.4,31.4,32,97.5
Aurangabad,2020-11,4319,18,32.5,32,95.3
Aurangabad,2020-12,4084,20.6,33.4,32,87.3
Aurangabad,2021-01,3967,14.7,23.5,32,77.6
Aurangabad,2021-02,3495,15.5,25.6,32,72
Aurangabad,2021-03,3738,17.8,27.8,32,81
Aurangabad,2021-04,3630,15.4,28.4,32,72.9
Aurangabad,2021-05,3577,15.8,30.8,32,76.9
Aurangabad,2021-06,3724,16.4,27.2,32,80.5
Aurangabad,2021-07,3989,17.4,32.6,33,91.5
Aurangabad,2021-08,4108,18.3,30.2,33,95.5
Aurangabad,2021-09,4313,19.1,36.2,33,100
Aurangabad,2021-10,4096,17.6,29.3,33,85.1
Aurangabad,2021-11,3939,18.3,31.5,33,75.5
Aurangabad,2021-12,3975,18.3,28.6,33,82.4
Aurangabad,2022-01,3630,15.4,24.4,33,87.5
Aurangabad,2022-02,3607,17.3,27.1,33,75.2
Aurangabad,2022-03,3558,15.4,24.3,33,80.4
Aurangabad,2022-04,3918,16.6,29.1,33,77
Aurangabad,2022-05,4072,17.1,32,33,81.5
Aurangabad,2022-06,3811,16.2,31,33,93.1
Aurangabad,2022-07,4343,19.3,36.9,33,100
Aurangabad,2022-08,4200,19.1,34.6,33,91
Aurangabad,2022-09,4527,16.9,31.1,33,94.8
Aurangabad,2022-10,4584,18.4,33.3,33,93.6
Aurangabad,2022-11,4001,16.9,27.9,33,76.9
Aurangabad,2022-12,4160,19.2,29.8,33,95.1
Aurangabad,2023-01,3746,18.2,33.8,33,87
Aurangabad,2023-02,3550,15.8,27.4,33,80.7
Aurangabad,2023-03,3833,17.4,29.4,33,78.3
Aurangabad,2023-04,3890,17.2,28.1,33,76.1
Aurangabad,2023-05,4047,17.4,29.2,33,91.7
Aurangabad,2023-06,3981,15.3,25.8,33,96.7
Aurangabad,2023-07,4321,16.9,26.7,33,97.3
Aurangabad,2023-08,4273,17.6,33.1,33,85.5
Aurangabad,2023-09,4301,16.1,30.7,33,100
Aurangabad,2023-10,4385,18.2,28.4,33,94.5
Aurangabad,2023-11,4071,16.3,25.4,33,79.4
Aurangabad,2023-12,4366,18.5,35.3,33,84.9
Aurangabad,2024-01,4053,18.8,34.6,34,98.3
Aurangabad,2024-02,3911,15.8,27.5,34,90.2
Aurangabad,2024-03,3688,18.3,35.4,34,80.1
Aurangabad,2024-04,3850,16.4,28.4,34,86.6
Aurangabad,2024-05,4081,16.9,26.5,34,95.6
Aurangabad,2024-06,4167,18.9,35.5,34,90.8
Aurangabad,2024-07,4620,17.5,29.8,34,100
Aurangabad,2024-08,4781,17.9,28.4,34,100
Aurangabad,2024-09,4586,20.1,39,34,100
Aurangabad,2024-10,4696,17.8,32.8,34,98
Aurangabad,2024-11,4445,17.1,31.5,34,100
Aurangabad,2024-12,4175,18,30.1,34,100
Aurangabad,2025-01,3848,17.1,29.8,34,84.3
Aurangabad,2025-02,3732,15.7,26,34,90.3
Aurangabad,2025-03,3894,16.8,32.7,34,90.3
Aurangabad,2025-04,3736,17.9,33.8,34,77.9
Aurangabad,2025-05,4228,18.6,32.6,34,95.7
Aurangabad,2025-06,4217,17,32.3,34,92.5
Aurangabad,2025-07,4520,18.4,34.3,34,100
Aurangabad,2025-08,4734,18.1,28.2,34,93.3
Aurangabad,2025-09,4855,20.4,37.8,34,100
Aurangabad,2025-10,4341,18.9,30.6,34,99
Aurangabad,2025-11,4305,19,32.5,34,90.3
Aurangabad,2025-12,4185,19.5,33.2,34,80.2
Jaipur,2019-01,2541,13.2,23.3,34,65.3
Jaipur,2019-02,2498,16.3,30.8,34,47.2
Jaipur,2019-03,2410,14.9,25.8,34,61.1
Jaipur,2019-04,2639,15.6,25.3,34,56.6
Jaipur,2019-05,2587,14,22.1,34,55.3
Jaipur,2019-06,2585,11.6,19.2,34,50.3
Jaipur,2019-07,2698,14.4,27.6,34,52.6
Jaipur,2019-08,2896,14.9,24.9,34,66.2
Jaipur,2019-09,2948,16.9,27.3,34,54.5
Jaipur,2019-10,2791,14.8,23.8,34,60.5
Jaipur,2019-11,2885,14.3,26.5,34,52.6
Jaipur,2019-12,2705,16.4,29.2,34,52.4
Jaipur,2020-01,2558,15,24.6,34,66
Jaipur,2020-02,2548,14.8,28.4,34,46.9
Jaipur,2020-03,2609,13.7,23.3,34,50.6
Jaipur,2020-04,2533,14.6,23.2,34,47
Jaipur,2020-05,2654,14.2,26.5,34,50.6
Jaipur,2020-06,2803,15.3,28.2,34,71.2
Jaipur,2020-07,2873,14.7,24.2,34,66.5
Jaipur,2020-08,2830,14.4,26.4,34,64.8
Jaipur,2020-09,3183,15,27.4,34,76.1
Jaipur,2020-10,3086,14.6,26.5,34,65
Jaipur,2020-11,3073,15.2,27.6,34,57.7
Jaipur,2020-12,2783,14.8,28.2,34,61.8
Jaipur,2021-01,2777,12.8,22.2,34,50.6
Jaipur,2021-02,2660,14.5,23.5,34,48.3
Jaipur,2021-03,2609,14.2,25.8,34,61.6
Jaipur,2021-04,2718,13.8,24.7,34,56.6
Jaipur,2021-05,2701,13.7,22.2,34,65.9
Jaipur,2021-06,2982,12.6,20.2,34,58.8
Jaipur,2021-07,2941,14.8,26.8,35,74
Jaipur,2021-08,3075,14.4,25.7,35,66.6
Jaipur,2021-09,3024,16.2,28.7,35,66.5
Jaipur,2021-10,3106,15.3,26.8,35,76
Jaipur,2021-11,3076,14.6,23.1,35,65.3
Jaipur,2021-12,2991,15.4,24.9,35,57.9
Jaipur,2022-01,2642,14.9,24.2,35,47.5
Jaipur,2022-02,2703,12.8,22.6,35,62
Jaipur,2022-03,2565,14.3,22.5,35,56.6
Jaipur,2022-04,2695,15.2,28.5,35,53.6
Jaipur,2022-05,2815,15.1,24.1,35,52.4
Jaipur,2022-06,2739,15.9,26.4,35,64.7
Jaipur,2022-07,3111,15.9,29.3,35,59.5
Jaipur,2022-08,3012,15.8,27.2,35,58.6
Jaipur,2022-09,3088,16.7,26.9,35,61.3
Jaipur,2022-10,3259,16.1,29.8,35,76.4
Jaipur,2022-11,3164,14.1,22.6,35,73.7
Jaipur,2022-12,3015,14.2,23.6,35,63.8
Jaipur,2023-01,2670,14.5,24.3,35,66.1
Jaipur,2023-02,2536,14.2,24.9,35,60.7
Jaipur,2023-03,2576,19.1,30,35,51.7
Jaipur,2023-04,2600,13.8,24.6,35,67.6
Jaipur,2023-05,2885,15.8,29.4,35,66.6
Jaipur,2023-06,2996,15.1,24.9,35,61.9
Jaipur,2023-07,3105,15.6,30.4,35,65.5
Jaipur,2023-08,3360,16.2,29.1,35,65
Jaipur,2023-09,3242,15.4,29.3,35,63.3
Jaipur,2023-10,3218,15.5,26.1,35,63.6
Jaipur,2023-11,2917,13.4,21.7,35,58.7
Jaipur,2023-12,2787,15.2,25,35,65
Jaipur,2024-01,2821,13.9,23.9,36,71.7
Jaipur,2024-02,2871,14.2,26.2,36,60.1
Jaipur,2024-03,2848,15.6,30.3,36,65.7
Jaipur,2024-04,2769,14.7,24.1,36,66.6
Jaipur,2024-05,2878,15,26.1,36,63.4
Jaipur,2024-06,3129,15.3,29.6,36,64.9
Jaipur,2024-07,3106,13.7,22.5,36,72.1
Jaipur,2024-08,3322,13.8,23.7,36,79.8
Jaipur,2024-09,3161,15.2,27.7,36,58.1
Jaipur,2024-10,3228,16.9,26.3,36,60.2
Jaipur,2024-11,3206,16.3,28.1,36,75.6
Jaipur,2024-12,3184,16,25.3,36,75.4
Jaipur,2025-01,2722,16,28.6,36,67.4
Jaipur,2025-02,2764,14,24.9,36,71
Jaipur,2025-03,2632,15.8,29,36,68.9
Jaipur,2025-04,2808,14.6,22.9,36,54.7
Jaipur,2025-05,2869,14.6,27.9,36,63.1
Jaipur,2025-06,3140,13.5,23.3,36,64.9
Jaipur,2025-07,3372,15.8,25.3,36,79.9
Jaipur,2025-08,3105,15.4,24.3,36,76.8
Jaipur,2025-09,3287,13.3,21.9,36,64.4
Jaipur,2025-10,3107,14.2,25.5,36,60.8
Jaipur,2025-11,3369,15.8,26.7,36,61.1
Jaipur,2025-12,2956,15.4,27.7,36,65.5
Jodhpur,2019-01,3723,14.3,27,71,51.6
Jodhpur,2019-02,3354,10.2,19.8,71,49.7
Jodhpur,2019-03,3431,12.5,20.3,71,33
Jodhpur,2019-04,3704,10.3,18,71,39
Jodhpur,2019-05,3861,11.8,22,71,49.1
Jodhpur,2019-06,3923,11.8,19.8,71,38.5
Jodhpur,2019-07,3837,11.3,19.9,71,54
Jodhpur,2019-08,4197,12.6,23.3,71,49.7
Jodhpur,2019-09,4322,13.9,22.9,71,50.9
Jodhpur,2019-10,4294,12.6,24.1,71,38.6
Jodhpur,2019-11,4024,11,18,71,44.1
Jodhpur,2019-12,4066,14.2,22.3,71,40.5
Jodhpur,2020-01,3634,11.7,19.4,71,36
Jodhpur,2020-02,3554,10.1,18.7,71,30.8
Jodhpur,2020-03,3690,12.8,22.3,71,53.6
Jodhpur,2020-04,3472,13.2,25.5,71,47.8
Jodhpur,2020-05,3900,12.4,19.5,71,49.9
Jodhpur,2020-06,3879,13.8,23.7,71,49.9
Jodhpur,2020-07,3934,12.6,20.2,71,46.5
Jodhpur,2020-08,4356,10.5,18.3,71,47.4
Jodhpur,2020-09,4442,13.3,22.7,71,43.3
Jodhpur,2020-10,4324,15.2,24.9,71,58.9
Jodhpur,2020-11,3996,11.1,20.2,71,55.1
Jodhpur,2020-12,3803,13.9,26.8,71,44.6
Jodhpur,2021-01,3955,12.3,20.8,71,49.6
Jodhpur,2021-02,3536,12.9,20.5,71,49.8
Jodhpur,2021-03,3762,10.4,19,71,36.5
Jodhpur,2021-04,3683,12.5,23.8,71,48.3
Jodhpur,2021-05,3866,14.2,24.1,71,41.6
Jodhpur,2021-06,3803,12.9,24.2,71,35.9
Jodhpur,2021-07,4081,13.6,23,72,54.8
Jodhpur,2021-08,4173,13.7,25.8,72,49.9
Jodhpur,2021-09,4497,10.8,19.2,72,57.2
Jodhpur,2021-10,4156,12.9,20.8,72,51.6
Jodhpur,2021-11,3964,14.4,24.9,72,41.6
Jodhpur,2021-12,3900,11.8,22.3,72,49.6
Jodhpur,2022-01,3877,12.8,24.8,72,35.9
Jodhpur,2022-02,3883,12.5,23.4,72,51.6
Jodhpur,2022-03,3765,9.7,17.4,72,43.3
Jodhpur,2022-04,3626,12.6,22.8,72,49
Jodhpur,2022-05,3994,11.2,19,72,46.5
Jodhpur,2022-06,3957,13.2,20.9,72,41.7
Jodhpur,2022-07,4401,12.6,22.9,72,38.5
Jodhpur,2022-08,4209,11.4,17.8,72,44.3
Jodhpur,2022-09,4418,21.1,39.2,72,58.1
Jodhpur,2022-10,4270,11.2,21.8,72,47.4
Jodhpur,2022-11,4056,12.3,22.6,72,44.7
Jodhpur,2022-12,3994,13.2,21.5,72,54.9
Jodhpur,2023-01,3942,12.2,19.9,72,42.6
Jodhpur,2023-02,3694,14,24,72,47.7
Jodhpur,2023-03,3573,9.7,17.6,72,45.4
Jodhpur,2023-04,3991,11.2,19.4,72,50.4
Jodhpur,2023-05,3781,12.5,22.4,72,44.8
Jodhpur,2023-06,4160,11.5,18.4,72,40.2
Jodhpur,2023-07,4232,12,19.4,72,39.8
Jodhpur,2023-08,4735,11.1,19.3,72,42.2
Jodhpur,2023-09,4718,14,22.5,72,51.7
Jodhpur,2023-10,4318,13.2,21.7,72,41.2
Jodhpur,2023-11,4167,11.9,22,72,46.8
Jodhpur,2023-12,4373,13.4,21.6,72,49.8
Jodhpur,2024-01,3895,12.7,21.9,73,44.4
Jodhpur,2024-02,3736,11.3,18.3,73,50.5
Jodhpur,2024-03,3773,13,24.7,73,34.3
Jodhpur,2024-04,3755,12.9,22.6,73,32.5
Jodhpur,2024-05,4192,23,38.2,73,46.6
Jodhpur,2024-06,4316,12.8,23.4,73,54.8
Jodhpur,2024-07,4557,14.3,23,73,60.8
Jodhpur,2024-08,4785,10.2,18.3,73,54.5
Jodhpur,2024-09,4629,14,26.1,73,58.1
Jodhpur,2024-10,4786,14.6,25.2,73,52.1
Jodhpur,2024-11,4398,13.7,23.6,73,48.8
Jodhpur,2024-12,4019,10.9,21.1,73,55
Jodhpur,2025-01,4027,13.5,25,73,37.4
Jodhpur,2025-02,3799,13.3,21.6,73,52
Jodhpur,2025-03,4094,14.2,23.4,73,47.4
Jodhpur,2025-04,3724,12.6,21.2,73,41
Jodhpur,2025-05,3863,14.8,26.5,73,42.6
Jodhpur,2025-06,4377,11.8,19.6,73,59.4
Jodhpur,2025-07,4643,13.4,25.2,73,52.4
Jodhpur,2025-08,4686,14.3,27.2,73,47.1
Jodhpur,2025-09,4905,13.3,25.3,73,42.3
Jodhpur,2025-10,4695,12.5,20.9,73,59.4
Jodhpur,2025-11,4328,12.9,24.6,73,55
Jodhpur,2025-12,4433,13.3,20.8,73,53.1
Udaipur,2019-01,2113,10.9,18.3,43,30.9
Udaipur,2019-02,1983,11.1,19,43,31
Udaipur,2019-03,2018,9.5,14.9,43,39.4
Udaipur,2019-04,2129,10.9,20.2,43,44.8
Udaipur,2019-05,2292,12.3,22.7,43,34.2
Udaipur,2019-06,2369,13.5,22.7,43,35.8
Udaipur,2019-07,2345,15.6,27.9,43,35.4
Udaipur,2019-08,2580,13.8,24.2,43,38.8
Udaipur,2019-09,2414,12.3,22.8,43,39.9
Udaipur,2019-10,2638,11.5,19.8,43,51.8
Udaipur,2019-11,2491,12.6,22.9,43,51.3
Udaipur,2019-12,2358,13.4,21.1,43,44.7
Udaipur,2020-01,2158,11.1,20.9,43,41.8
