district,month,households_covered,target_households,functional_tap_pct,capex_released_cr,capex_spent_cr
Kanpur Nagar,2023-08,256281,394104,63.7,231.35,82.63
Kanpur Nagar,2023-09,257936,394104,63.6,238.28,83.34
Kanpur Nagar,2023-10,261995,394104,58.4,242.28,84.08
Kanpur Nagar,2023-11,265305,394104,62.3,246.53,86.29
Kanpur Nagar,2023-12,268773,394104,66.6,248.54,86.93
Kanpur Nagar,2024-01,270349,394104,57.5,254.42,87.37
Kanpur Nagar,2024-02,271374,394104,66.2,258.83,88.68
Kanpur Nagar,2024-03,274724,394104,60.9,263.83,88.88
Kanpur Nagar,2024-04,276340,394104,66.3,266.42,89.87
Kanpur Nagar,2024-05,277443,394104,63.2,268.34,90.86
Kanpur Nagar,2024-06,279492,394104,65.6,272.23,91.51
Kanpur Nagar,2024-07,282054,394104,66,275.24,93.11
Kanpur Nagar,2024-08,284143,394104,60.1,279.83,93.39
Kanpur Nagar,2024-09,285049,394104,66,281.55,94.02
Kanpur Nagar,2024-10,286625,394104,69,285.11,94.11
Kanpur Nagar,2024-11,288044,394104,67.5,285.71,94.62
Kanpur Nagar,2024-12,290251,394104,63.9,290.34,95.5
Kanpur Nagar,2025-01,294665,394104,66.5,295.31,95.83
Kanpur Nagar,2025-02,295493,394104,73.6,302.06,98.06
Kanpur Nagar,2025-03,299079,394104,73.5,302.78,98.21
Kanpur Nagar,2025-04,302784,394104,71.1,308.66,98.77
Kanpur Nagar,2025-05,306804,394104,76.1,314.11,99.58
Kanpur Nagar,2025-06,308026,394104,73.5,321.1,100.1
Kanpur Nagar,2025-07,312440,394104,69.4,322.58,100.89
Kanpur Nagar,2025-08,313583,394104,73.5,326.2,103.16
Kanpur Nagar,2025-09,315041,394104,67.9,330.11,105.62
Kanpur Nagar,2025-10,317957,394104,76.8,335.13,107.34
Kanpur Nagar,2025-11,319415,394104,78,337.76,109.91
Kanpur Nagar,2025-12,323868,394104,79.5,342.86,110.66
Patna,2019-01,90726,340435,25.9,0.97,0.97
Patna,2019-02,94403,340435,24.6,4.63,1.82
Patna,2019-03,95935,340435,24.8,6.43,4.37
Patna,2019-04,98216,340435,26.9,13.85,6.09
Patna,2019-05,101757,340435,28.9,18.34,6.38
Patna,2019-06,105093,340435,28.7,24.06,8.62
Patna,2019-07,107306,340435,28.8,27.55,9.77
Patna,2019-08,110336,340435,28.2,32.43,10.77
Patna,2019-09,111357,340435,29.7,33.55,11.53
Patna,2019-10,114932,340435,32.2,35.62,12.01
Patna,2019-11,115749,340435,31.4,39.2,13.3
Patna,2019-12,119562,340435,33.9,43.13,16.18
Patna,2020-01,123239,340435,30.4,48.84,16.68
Patna,2020-02,125282,340435,35,53.35,19.74
Patna,2020-03,128550,340435,34.6,60.47,22.04
Patna,2020-04,130048,340435,34.4,65.57,22.84
Patna,2020-05,130763,340435,31.8,68.84,23.71
Patna,2020-06,134338,340435,35.9,72.54,25.54
Patna,2020-07,135802,340435,36.5,79.08,26.39
Patna,2020-08,136721,340435,35.5,86.45,26.89
Patna,2020-09,139376,340435,34.6,92.06,29.82
Patna,2020-10,140397,340435,36.3,96.93,30.81
Patna,2020-11,143563,340435,40,102.64,31.14
Patna,2020-12,147410,340435,41.4,106.64,31.2
Patna,2021-01,149248,340435,38.6,114.12,33.41
Patna,2021-02,150099,340435,38.6,118.47,34.33
Patna,2021-03,152312,340435,36.7,124.97,34.7
Patna,2021-04,154967,340435,39.1,128.7,35.3
Patna,2021-05,158882,340435,42.5,131.97,35.85
Patna,2021-06,161197,340435,42,135.57,36.11
Patna,2021-07,162831,340435,39.6,142.52,36.59
Patna,2021-08,164431,340435,44.4,147.73,37.84
Patna,2021-09,167086,340435,43,152.51,40.34
Patna,2021-10,169673,340435,43.8,155.22,40.84
Patna,2021-11,171920,340435,47.4,157.9,41.41
Patna,2021-12,174269,340435,42.9,164.07,41.55
Patna,2022-01,176788,340435,50,164.68,43.96
Patna,2022-02,178354,340435,47.9,171.92,44.31
Patna,2022-03,181520,340435,44.6,174.74,45.45
Patna,2022-04,182507,340435,47.8,176.29,46.26
Patna,2022-05,184754,340435,46.7,181.98,47.1
Patna,2022-06,186729,340435,53.8,188.19,47.26
Patna,2022-07,189180,340435,51.2,191.97,48.52
Patna,2022-08,190303,340435,50.6,194.02,48.7
Patna,2022-09,192482,340435,54.4,195.03,49.5
Patna,2022-10,194286,340435,54.6,197.13,50.48
Patna,2022-11,195273,340435,50.4,201.8,51.12
Patna,2022-12,197554,340435,52.4,203.82,54
Patna,2023-01,198848,340435,49.3,210.66,56.01
Patna,2023-02,200720,340435,56.3,213.65,56.17
Patna,2023-03,201877,340435,55.4,217.24,57.15
Patna,2023-04,205690,340435,52.7,220.9,58
Patna,2023-05,206950,340435,54.6,228.06,58.71
Patna,2023-06,208448,340435,59.8,231.43,60.7
Patna,2023-07,211001,340435,53.6,235.16,62.36
Patna,2023-08,212158,340435,51.3,236.5,65.44
Patna,2023-09,214133,340435,56.6,238.75,67.71
Patna,2023-10,217605,340435,52.7,243.94,70.8
Patna,2023-11,221214,340435,61.7,251.41,71.13
Patna,2023-12,223631,340435,58.6,256.02,71.72
Patna,2024-01,225299,340435,63,262.86,72.07
Patna,2024-02,228567,340435,66.1,263.59,73.68
Patna,2024-03,229724,340435,63,265.13,73.78
Patna,2024-04,231664,340435,65.1,267.07,73.91
Patna,2024-05,234762,340435,67.4,268.17,75.79
Patna,2024-06,235443,340435,66.5,269.19,76.48
Patna,2024-07,238473,340435,63.3,270.8,76.85
Patna,2024-08,241503,340435,64,273.1,79.29
Patna,2024-09,245418,340435,67,279.74,80.83
Patna,2024-10,247665,340435,70.2,284.59,81.4
Patna,2024-11,249708,340435,67.2,290.98,82.18
Patna,2024-12,251444,340435,68.2,292.87,84.32
Patna,2025-01,255427,340435,70.9,299.89,86.98
Patna,2025-02,259308,340435,71.7,304.74,87.23
Patna,2025-03,262644,340435,67.2,305.41,88.92
Patna,2025-04,263427,340435,64.4,307.1,90.38
Patna,2025-05,267138,340435,70.1,314.19,91.43
Patna,2025-06,270100,340435,68.7,315.76,92.14
Patna,2025-07,271394,340435,76.8,316.37,92.81
Patna,2025-08,273369,340435,71.2,318.29,95.27
Patna,2025-09,276875,340435,67.5,323.75,96.96
Patna,2025-10,279735,340435,79.9,329.67,99.45
Patna,2025-11,282458,340435,68.9,334.22,99.75
Patna,2025-12,285692,340435,70.7,335.13,99.98
Gaya,2019-01,75443,514973,12,6.55,1.91
Gaya,2019-02,80902,514973,13.4,11.57,3.43
Gaya,2019-03,85279,514973,15.9,18.78,4.11
Gaya,2019-04,87545,514973,16,24.93,4.4
Gaya,2019-05,91150,514973,14.8,30.93,7.2
Gaya,2019-06,93107,514973,15.1,34.01,8.01
Gaya,2019-07,96145,514973,16.3,37.88,8.93
Gaya,2019-08,99441,514973,18.3,42.71,11.52
Gaya,2019-09,104848,514973,18.6,44.91,12.42
Gaya,2019-10,107371,514973,18.2,45.42,15.36
Gaya,2019-11,109482,514973,17.7,49.28,17.8
Gaya,2019-12,115044,514973,20.9,51.31,19.67
Gaya,2020-01,118752,514973,21.6,58.58,19.73
Gaya,2020-02,124211,514973,23.5,64.55,21.15
Gaya,2020-03,127970,514973,24.2,67.58,22.79
Gaya,2020-04,130081,514973,21.9,70.73,23.14
Gaya,2020-05,133222,514973,24.9,73.08,26.04
Gaya,2020-06,135642,514973,24.4,78.54,28.97
Gaya,2020-07,138835,514973,24.7,79.73,29.34
Gaya,2020-08,141204,514973,22.6,85.43,29.73
Gaya,2020-09,146972,514973,25.3,88.79,32.29
Gaya,2020-10,152276,514973,27.5,92.96,32.99
Gaya,2020-11,157683,514973,29.1,99.31,34.61
Gaya,2020-12,161957,514973,29.4,102.7,36.58
Gaya,2021-01,165304,514973,26.5,103.25,37.34
Gaya,2021-02,168085,514973,29.1,110.01,37.64
Gaya,2021-03,173647,514973,30.1,117.26,40.18
Gaya,2021-04,176994,514973,32.8,120.93,41.4
Gaya,2021-05,178075,514973,30.2,126.87,44.09
Gaya,2021-06,183843,514973,32,131.5,44.46
Gaya,2021-07,188014,514973,33.5,131.97,45.51
Gaya,2021-08,191722,514973,35.9,138.44,46.3
Gaya,2021-09,197644,514973,33.2,142.79,48.17
Gaya,2021-10,203206,514973,34.4,149.85,49.51
Gaya,2021-11,206399,514973,33,156.67,50.18
Gaya,2021-12,209540,514973,35.3,158.28,51.93
Gaya,2022-01,212475,514973,35.3,163.85,54.47
Gaya,2022-02,214947,514973,38.7,169.34,54.82
Gaya,2022-03,217985,514973,41.9,173.22,55.16
Gaya,2022-04,219993,514973,41.6,174.22,55.51
Gaya,2022-05,223495,514973,36.4,176.31,56.29
Gaya,2022-06,226997,514973,42.5,177.39,56.84
Gaya,2022-07,228284,514973,39.5,177.86,57.37
Gaya,2022-08,234052,514973,43.9,182.73,59.8
Gaya,2022-09,235339,514973,43.7,187.02,61.52
Gaya,2022-10,236523,514973,39.3,187.61,62.47
Gaya,2022-11,240591,514973,43.8,194.4,63.21
Gaya,2022-12,241827,514973,44.5,196.01,65.31
Gaya,2023-01,243681,514973,39,198.79,66.39
Gaya,2023-02,249346,514973,45.5,200.05,68.69
Gaya,2023-03,255217,514973,43.1,205.19,69.05
Gaya,2023-04,258358,514973,44,208.17,69.85
Gaya,2023-05,262375,514973,46.6,214.49,70.7
Gaya,2023-06,265980,514973,47.2,215.07,70.97
Gaya,2023-07,269430,514973,51.3,217.91,73.9
Gaya,2023-08,273498,514973,50.2,221.32,74.03
Gaya,2023-09,279317,514973,50.6,227.54,77.08
Gaya,2023-10,283076,514973,52.3,231.43,78.71
Gaya,2023-11,288638,514973,48.7,234.91,80.86
Gaya,2023-12,290492,514973,52.9,239.82,81.81
Gaya,2024-01,292964,514973,53.6,245.69,82.39
Gaya,2024-02,296929,514973,53.8,246.65,84.13
Gaya,2024-03,299607,514973,55.6,253.43,84.73
Gaya,2024-04,304396,514973,53.7,258.64,87.12
Gaya,2024-05,307280,514973,58.3,259.05,90.06
Gaya,2024-06,311554,514973,58.9,264.68,91.43
Gaya,2024-07,312944,514973,50.8,271.18,93.84
Gaya,2024-08,317321,514973,60.3,276.57,95.38
Gaya,2024-09,323295,514973,54.3,283.68,95.76
Gaya,2024-10,329423,514973,62.4,284.43,97.16
Gaya,2024-11,332667,514973,57.5,290.51,97.71
Gaya,2024-12,338229,514973,59.2,293.92,98.22
Gaya,2025-01,340186,514973,62.6,296.63,98.77
Gaya,2025-02,341525,514973,60.7,303.25,99.65
Gaya,2025-03,347138,514973,64.9,307.41,100.3
Gaya,2025-04,349249,514973,60,313.64,103
Gaya,2025-05,355326,514973,60,316.3,103.12
Gaya,2025-06,359034,514973,62.6,322.5,105.71
Gaya,2025-07,364184,514973,60.2,323.63,108.24
Gaya,2025-08,370055,514973,61.4,329.22,109.28
Gaya,2025-09,372269,514973,69.6,335.94,111.86
Gaya,2025-10,374792,514973,65.5,341.46,112.14
Gaya,2025-11,377264,514973,60.2,343.79,113.1
Gaya,2025-12,379684,514973,64,344.3,116.17
Muzaffarpur,2019-01,82617,259069,27.5,2.81,1.13
Muzaffarpur,2019-02,83472,259069,30.6,3.66,3
Muzaffarpur,2019-03,84793,259069,30.1,8.65,5.11
Muzaffarpur,2019-04,85829,259069,31.9,15.73,7.91
Muzaffarpur,2019-05,87953,259069,32.2,22.72,10.77
Muzaffarpur,2019-06,88601,259069,31.9,26.9,13.58
Muzaffarpur,2019-07,90777,259069,30.4,27.78,14.4
Muzaffarpur,2019-08,91658,259069,29.5,34.91,15.27
Muzaffarpur,2019-09,93834,259069,30.5,36.11,17.53
Muzaffarpur,2019-10,95647,259069,34.9,37.85,17.67
Muzaffarpur,2019-11,97771,259069,36.1,45.12,18.74
Muzaffarpur,2019-12,99248,259069,32.9,50.32,19.44
Muzaffarpur,2020-01,100051,259069,31.7,55.82,21.32
Muzaffarpur,2020-02,101372,259069,33.1,58.1,21.64
Muzaffarpur,2020-03,103859,259069,33,61.21,23.69
Muzaffarpur,2020-04,105517,259069,35.1,63.39,24.43
Muzaffarpur,2020-05,106527,259069,36,67.27,25.28
Muzaffarpur,2020-06,107123,259069,39.7,72.2,27
Muzaffarpur,2020-07,109558,259069,36.9,77.96,27.32
Muzaffarpur,2020-08,110879,259069,38,84.15,27.63
Muzaffarpur,2020-09,111812,259069,36.4,87.76,28.42
Muzaffarpur,2020-10,112563,259069,37.5,88.69,31.14
Muzaffarpur,2020-11,114402,259069,39.6,94.58,31.65
Muzaffarpur,2020-12,114972,259069,39.3,96.94,33.93
Muzaffarpur,2021-01,117407,259069,44.3,100.65,34.44
Muzaffarpur,2021-02,119739,259069,39.6,106.4,35.51
Muzaffarpur,2021-03,120879,259069,43.1,110.88,36.62
Muzaffarpur,2021-04,122977,259069,41,113.46,38.9
Muzaffarpur,2021-05,125904,259069,46.9,120.43,39.93
Muzaffarpur,2021-06,126863,259069,40.7,121.57,41.5
Muzaffarpur,2021-07,129117,259069,41,122.6,42.36
Muzaffarpur,2021-08,130231,259069,46,125.83,42.48
Muzaffarpur,2021-09,131112,259069,44.3,127.8,45.53
Muzaffarpur,2021-10,132951,259069,47.4,132.51,46.33
Muzaffarpur,2021-11,134195,259069,46.9,138.46,47.39
Muzaffarpur,2021-12,136268,259069,46.2,143.77,50.09
Muzaffarpur,2022-01,137745,259069,50,147.33,52.29
Muzaffarpur,2022-02,140258,259069,45.4,150.26,53.02
Muzaffarpur,2022-03,141035,259069,45.8,156.09,55.09
Muzaffarpur,2022-04,141838,259069,48.2,159.18,55.55
Muzaffarpur,2022-05,144895,259069,52.6,160.91,56.01
Muzaffarpur,2022-06,147641,259069,51.2,167.01,58.56
Muzaffarpur,2022-07,149170,259069,54.4,172.61,59.03
Muzaffarpur,2022-08,150699,259069,55.3,176.57,60.18
Muzaffarpur,2022-09,152487,259069,53.9,182.87,61.31
Muzaffarpur,2022-10,155233,259069,53.5,183.95,62.85
Muzaffarpur,2022-11,155907,259069,54.7,185.72,65.05
Muzaffarpur,2022-12,157746,259069,51.1,190.11,65.74
Muzaffarpur,2023-01,158601,259069,59.4,192.08,68.42
Muzaffarpur,2023-02,159870,259069,61,194.34,70.11
Muzaffarpur,2023-03,161450,259069,55,197.94,71.98
Muzaffarpur,2023-04,163497,259069,52.1,200.89,72.15
Muzaffarpur,2023-05,164611,259069,59.6,208.32,73.09
Muzaffarpur,2023-06,165388,259069,55.7,214.76,73.9
Muzaffarpur,2023-07,166087,259069,53.1,218.09,74.24
Muzaffarpur,2023-08,166631,259069,54.9,223.57,74.94
Muzaffarpur,2023-09,168833,259069,62.8,227.86,77.38
Muzaffarpur,2023-10,171735,259069,59.3,228.28,78.99
Muzaffarpur,2023-11,172901,259069,58.7,230.91,80.06
Muzaffarpur,2023-12,174507,259069,58.5,232.7,82.56
Muzaffarpur,2024-01,176709,259069,66.6,236.08,83.24
Muzaffarpur,2024-02,177253,259069,63.7,240.56,85.78
Muzaffarpur,2024-03,180103,259069,64.3,241.78,85.91
Muzaffarpur,2024-04,182409,259069,60.9,244.5,88.61
Muzaffarpur,2024-05,183963,259069,59.6,247.09,91.33
Muzaffarpur,2024-06,186061,259069,60.7,252.95,91.44
Muzaffarpur,2024-07,188807,259069,62,257.6,91.73
Muzaffarpur,2024-08,190802,259069,65.3,264.09,93.85
Muzaffarpur,2024-09,193263,259069,72.9,270,96.21
Muzaffarpur,2024-10,193807,259069,68.2,271.9,97.93
Muzaffarpur,2024-11,195439,259069,67.2,278.35,98.6
Muzaffarpur,2024-12,198211,259069,74.5,278.81,99.97
Muzaffarpur,2025-01,200491,259069,73.1,281.44,102.11
Muzaffarpur,2025-02,201216,259069,75.8,282.28,104.39
Muzaffarpur,2025-03,202304,259069,64.6,289.19,106.42
Muzaffarpur,2025-04,205102,259069,65.9,293.52,107.65
Muzaffarpur,2025-05,207589,259069,69.5,298.54,108.39
Muzaffarpur,2025-06,209558,259069,74.9,304.9,111.32
Muzaffarpur,2025-07,211242,259069,75.3,306.44,112.86
Muzaffarpur,2025-08,213574,259069,74.7,310.12,113.15
Muzaffarpur,2025-09,215672,259069,77,315.36,116.02
Muzaffarpur,2025-10,218004,259069,81.5,318.09,117.04
Muzaffarpur,2025-11,220102,259069,70.9,319.69,119.66
Muzaffarpur,2025-12,221527,259069,74.9,323.52,120.79
Indore,2019-01,10015,66196,14,2.88,0.36
Indore,2019-02,10233,66196,13.9,5.03,1.22
Indore,2019-03,10690,66196,13.9,5.83,1.33
Indore,2019-04,11425,66196,16.9,12.56,1.54
Indore,2019-05,12199,66196,17.5,15.48,4.3
Indore,2019-06,12954,66196,18.3,22.46,4.97
Indore,2019-07,13424,66196,19.1,24.01,7.84
Indore,2019-08,13556,66196,16.9,30.09,8.6
Indore,2019-09,13867,66196,20.2,30.98,9.17
Indore,2019-10,14258,66196,20.1,33.52,10.44
Indore,2019-11,14675,66196,21.8,35.92,13.52
Indore,2019-12,15099,66196,19.3,42.95,14.08
Indore,2020-01,15675,66196,23.2,48.89,16.9
Indore,2020-02,15887,66196,20.4,53.27,17.37
Indore,2020-03,16165,66196,20.2,55.18,18.43
Indore,2020-04,16330,66196,21.5,62.05,18.6
Indore,2020-05,16615,66196,21.6,66.25,19.17
Indore,2020-06,17019,66196,21.9,70.99,19.7
Indore,2020-07,17568,66196,25.8,76.52,21.62
Indore,2020-08,18210,66196,24.8,81.34,21.94
Indore,2020-09,18614,66196,27,85.01,22.39
Indore,2020-10,19236,66196,24.2,91.92,23.23
Indore,2020-11,19395,66196,24.1,98.98,23.95
Indore,2020-12,19660,66196,24.6,106.28,24.91
Indore,2021-01,20183,66196,28.7,108.05,27.58
Indore,2021-02,20646,66196,30.5,113.56,27.95
Indore,2021-03,21176,66196,29.1,117.29,28.14
Indore,2021-04,21620,66196,27,119.42,29.78
Indore,2021-05,21845,66196,27.2,125.32,31.68
Indore,2021-06,22090,66196,32.4,129.89,32.98
Indore,2021-07,22739,66196,28.3,134.32,33.68
Indore,2021-08,23388,66196,33.5,138.1,35.84
Indore,2021-09,23626,66196,35.2,139.59,35.99
Indore,2021-10,23758,66196,35,145.35,38.82
Indore,2021-11,23963,66196,35.2,147.78,40.31
Indore,2021-12,24592,66196,35,154.38,41.33
Indore,2022-01,25036,66196,36.5,157.83,42.22
Indore,2022-02,25519,66196,33.6,161.67,45.28
Indore,2022-03,26075,66196,38.8,165.77,46.27
Indore,2022-04,26724,66196,39.3,171.51,46.79
Indore,2022-05,27419,66196,36.7,174.74,48.38
Indore,2022-06,27843,66196,40.1,178.11,48.7
Indore,2022-07,28280,66196,38.2,180.75,49.15
Indore,2022-08,28518,66196,40.1,184.08,50.08
Indore,2022-09,28948,66196,40.7,187.4,50.21
Indore,2022-10,29398,66196,41.1,190.2,51.44
Indore,2022-11,29557,66196,43.1,191.82,53.98
Indore,2022-12,30140,66196,39.2,192.54,54.87
Indore,2023-01,30365,66196,44.3,195.98,57.63
Indore,2023-02,30610,66196,38.6,199.55,60.73
Indore,2023-03,31159,66196,45.5,202.38,62.92
Indore,2023-04,31444,66196,43.8,203.54,63.44
Indore,2023-05,31682,66196,44.8,210.82,65.24
Indore,2023-06,32033,66196,46.1,211.89,65.62
Indore,2023-07,32344,66196,44.1,219.09,67.64
Indore,2023-08,32781,66196,44.9,219.95,67.87
Indore,2023-09,33039,66196,44.9,225.85,68.72
Indore,2023-10,33648,66196,46.4,229.48,69.43
Indore,2023-11,33820,66196,47.9,236.53,71.44
Indore,2023-12,34522,66196,43.5,238.11,73.94
Indore,2024-01,35283,66196,48,239.01,76.83
Indore,2024-02,35528,66196,45.1,240.2,78.64
Indore,2024-03,36276,66196,48.2,241.48,79.54
Indore,2024-04,36839,66196,51.6,248.66,80.27
Indore,2024-05,37375,66196,46.7,251.14,82.1
Indore,2024-06,37534,66196,53.8,252.93,84.35
Indore,2024-07,38156,66196,56.3,260.23,85.27
Indore,2024-08,38825,66196,49.7,260.78,85.65
Indore,2024-09,39262,66196,57.6,266.31,88.72
Indore,2024-10,39580,66196,56.7,268.88,89.78
Indore,2024-11,39891,66196,53.1,274.26,90.61
Indore,2024-12,40315,66196,59.8,274.85,91.98
Indore,2025-01,40646,66196,54.2,276.73,94.66
Indore,2025-02,41189,66196,56.1,281.34,95.79
Indore,2025-03,41745,66196,58.4,286.52,97.6
Indore,2025-04,42195,66196,61.2,291.52,98.7
Indore,2025-05,42625,66196,59.6,296.7,98.92
Indore,2025-06,42784,66196,61.5,299.73,99.51
Indore,2025-07,43373,66196,63.2,301.18,100.49
Indore,2025-08,43949,66196,58,307.36,101.05
Indore,2025-09,44584,66196,56.6,308.1,102.16
Indore,2025-10,44955,66196,59.2,309.88,102.78
Indore,2025-11,45683,66196,67.2,311.85,103.44
Indore,2025-12,45981,66196,59.3,317.28,104.22
Bhopal,2019-01,121323,364882,31.3,6.98,0.91
Bhopal,2019-02,122710,364882,33.2,11.16,1.84
Bhopal,2019-03,125848,364882,33.6,15.87,2
Bhopal,2019-04,127745,364882,32.8,21.3,5.04
Bhopal,2019-05,128913,364882,33.4,28.21,7.45
Bhopal,2019-06,130409,364882,29.7,29.29,8.03
Bhopal,2019-07,133365,364882,33.7,30.13,8.82
Bhopal,2019-08,137707,364882,33.6,35.21,9.07
Bhopal,2019-09,138510,364882,36.7,37.29,11.86
Bhopal,2019-10,140152,364882,33.3,39.2,12.19
Bhopal,2019-11,143363,364882,35.6,39.7,12.66
Bhopal,2019-12,145114,364882,36,44.61,13.12
Bhopal,2020-01,147194,364882,34.6,45.89,14.08
Bhopal,2020-02,151500,364882,34.3,51.07,16.28
Bhopal,2020-03,154164,364882,38.8,55.19,19.17
Bhopal,2020-04,157047,364882,40.1,57.44,21.9
Bhopal,2020-05,160696,364882,41.1,59.81,22.17
Bhopal,2020-06,163433,364882,37.4,65.24,24.24
Bhopal,2020-07,166243,364882,40.4,66.9,25.03
Bhopal,2020-08,170184,364882,45.7,70.61,26.64
Bhopal,2020-09,174198,364882,41.6,72.51,28.59
Bhopal,2020-10,175876,364882,43.7,73.81,29.98
Bhopal,2020-11,177664,364882,41.7,78.53,30.79
Bhopal,2020-12,179671,364882,45.7,80.03,32.96
Bhopal,2021-01,183831,364882,41.4,87.5,34.38
Bhopal,2021-02,185108,364882,46.7,92.28,34.66
Bhopal,2021-03,186203,364882,43.9,95.21,36.15
Bhopal,2021-04,187261,364882,43.4,99.68,36.44
Bhopal,2021-05,191056,364882,47.1,106.18,37.26
Bhopal,2021-06,192661,364882,44,111.23,40.14
Bhopal,2021-07,195434,364882,49.8,116.51,40.22
Bhopal,2021-08,199776,364882,54,123.46,42.2
Bhopal,2021-09,203352,364882,49.9,129.99,43.07
Bhopal,2021-10,205468,364882,53.6,131.53,43.9
Bhopal,2021-11,207548,364882,55.6,135.14,45.74
Bhopal,2021-12,210102,364882,51.6,137.73,46.51
Bhopal,2022-01,211744,364882,54.4,145.18,47.98
Bhopal,2022-02,212510,364882,48.4,152.43,48.65
Bhopal,2022-03,214444,364882,55.7,155.34,50.48
Bhopal,2022-04,217947,364882,55.5,159.7,52.26
Bhopal,2022-05,219771,364882,50.3,161.87,54.23
Bhopal,2022-06,220537,364882,55.6,166.02,55.85
Bhopal,2022-07,221522,364882,58.4,172.99,57.38
Bhopal,2022-08,222653,364882,52.1,174.55,58.33
Bhopal,2022-09,224003,364882,57.7,175.97,58.58
Bhopal,2022-10,228090,364882,54,180.31,59.97
Bhopal,2022-11,230608,364882,57.3,185.84,60.85
Bhopal,2022-12,232542,364882,59.9,192.91,62.58
Bhopal,2023-01,234476,364882,56.4,193.96,64.62
Bhopal,2023-02,235425,364882,55.1,197.83,66.9
Bhopal,2023-03,238672,364882,55.1,204.83,68.49
Bhopal,2023-04,241810,364882,63.2,208.14,70.95
Bhopal,2023-05,243415,364882,58.6,214.83,71.01
Bhopal,2023-06,245677,364882,55.7,221.87,71.89
Bhopal,2023-07,247246,364882,63.1,224.56,72.1
Bhopal,2023-08,248523,364882,57.1,228.41,73.43
Bhopal,2023-09,250530,364882,57.5,231,74.37
Bhopal,2023-10,252208,364882,67.5,236.34,74.69
