scheme,department,state,district,fy,allocation_cr,released_cr,spent_cr,beneficiaries,utilisation_pct
Ayushman Bharat PM-JAY,Health & Family Welfare,Tamil Nadu,Madurai,2022-23,1210.56,1127.21,907.1,713888,74.9
Ayushman Bharat PM-JAY,Health & Family Welfare,Tamil Nadu,Madurai,2023-24,1402.41,1221.87,1152.99,891261,82.2
Ayushman Bharat PM-JAY,Health & Family Welfare,Tamil Nadu,Madurai,2024-25,1801.14,1197.15,904.25,404200,50.2
Ayushman Bharat PM-JAY,Health & Family Welfare,Tamil Nadu,Madurai,2025-26,2366.94,2081.75,1584.85,893855,67
Ayushman Bharat PM-JAY,Health & Family Welfare,Gujarat,Ahmedabad,2019-20,703.87,670.65,552.08,378175,78.4
Ayushman Bharat PM-JAY,Health & Family Welfare,Gujarat,Ahmedabad,2020-21,717.07,476.7,408.1,87742,56.9
Ayushman Bharat PM-JAY,Health & Family Welfare,Gujarat,Ahmedabad,2021-22,835.18,683.64,442.6,80996,53
Ayushman Bharat PM-JAY,Health & Family Welfare,Gujarat,Ahmedabad,2022-23,964.67,831.57,658.25,229071,68.2
Ayushman Bharat PM-JAY,Health & Family Welfare,Gujarat,Ahmedabad,2023-24,1272.51,1174.29,841.19,198521,66.1
Ayushman Bharat PM-JAY,Health & Family Welfare,Gujarat,Ahmedabad,2024-25,1675.8,1385.78,1158.48,259500,69.1
Ayushman Bharat PM-JAY,Health & Family Welfare,Gujarat,Ahmedabad,2025-26,2237.98,1746.53,1428.1,285620,63.8
Ayushman Bharat PM-JAY,Health & Family Welfare,Uttarakhand,Dehradun,2019-20,829.8,684.13,557.83,174043,67.2
Ayushman Bharat PM-JAY,Health & Family Welfare,Uttarakhand,Dehradun,2020-21,852.73,679.23,472.89,403375,55.5
Ayushman Bharat PM-JAY,Health & Family Welfare,Uttarakhand,Dehradun,2021-22,932.23,859.24,834.54,209470,89.5
Ayushman Bharat PM-JAY,Health & Family Welfare,Uttarakhand,Dehradun,2022-23,1092.04,882.74,737.77,177065,67.6
Ayushman Bharat PM-JAY,Health & Family Welfare,Uttarakhand,Dehradun,2023-24,1308.16,1018.76,805.86,705933,61.6
Ayushman Bharat PM-JAY,Health & Family Welfare,Uttarakhand,Dehradun,2024-25,1582.03,1319.93,1040.46,818842,65.8
Ayushman Bharat PM-JAY,Health & Family Welfare,Uttarakhand,Dehradun,2025-26,2106.54,1619.49,1470.81,773646,69.8
Ayushman Bharat PM-JAY,Health & Family Welfare,Rajasthan,Jodhpur,2019-20,459.06,425.97,320.29,108899,69.8
Ayushman Bharat PM-JAY,Health & Family Welfare,Rajasthan,Jodhpur,2020-21,506.94,388.37,388.37,62139,76.6
Ayushman Bharat PM-JAY,Health & Family Welfare,Rajasthan,Jodhpur,2021-22,569.34,480.79,480.79,312994,84.4
Ayushman Bharat PM-JAY,Health & Family Welfare,Rajasthan,Jodhpur,2022-23,711.81,475.71,444.62,255657,62.5
Ayushman Bharat PM-JAY,Health & Family Welfare,Rajasthan,Jodhpur,2023-24,862.33,847.36,654.21,150468,75.9
Ayushman Bharat PM-JAY,Health & Family Welfare,Rajasthan,Jodhpur,2024-25,1199.84,1159.57,864.22,192721,72
Ayushman Bharat PM-JAY,Health & Family Welfare,Rajasthan,Jodhpur,2025-26,1641.77,1491.02,890.91,668183,54.3
Ayushman Bharat PM-JAY,Health & Family Welfare,Gujarat,Rajkot,2019-20,749.49,692.16,438.8,174204,58.5
Ayushman Bharat PM-JAY,Health & Family Welfare,Gujarat,Rajkot,2020-21,819.88,535.84,535.84,225053,65.4
Ayushman Bharat PM-JAY,Health & Family Welfare,Gujarat,Rajkot,2021-22,887.67,634.31,524.5,186198,59.1
Ayushman Bharat PM-JAY,Health & Family Welfare,Gujarat,Rajkot,2022-23,1071.33,995.56,806.45,445160,75.3
Ayushman Bharat PM-JAY,Health & Family Welfare,Gujarat,Rajkot,2023-24,1382.33,1045.78,825.47,351650,59.7
Ayushman Bharat PM-JAY,Health & Family Welfare,Gujarat,Rajkot,2024-25,1742.25,1278.54,1207.17,1068345,69.3
Ayushman Bharat PM-JAY,Health & Family Welfare,Gujarat,Rajkot,2025-26,2420.69,2073.96,1508.4,921632,62.3
Ayushman Bharat PM-JAY,Health & Family Welfare,Bihar,Patna,2019-20,868.53,838.36,619.82,164252,71.4
Ayushman Bharat PM-JAY,Health & Family Welfare,Bihar,Patna,2020-21,950.79,671.68,471.49,267335,49.6
Ayushman Bharat PM-JAY,Health & Family Welfare,Bihar,Patna,2021-22,987.14,987.14,754.52,500247,76.4
Ayushman Bharat PM-JAY,Health & Family Welfare,Bihar,Patna,2022-23,1204.71,958.1,722.18,499026,59.9
Ayushman Bharat PM-JAY,Health & Family Welfare,Bihar,Patna,2023-24,1526.39,1225.81,950.45,222405,62.3
Ayushman Bharat PM-JAY,Health & Family Welfare,Bihar,Patna,2024-25,1958.74,1442.66,1035.05,930510,52.8
Ayushman Bharat PM-JAY,Health & Family Welfare,Bihar,Patna,2025-26,2790.41,2219.12,1923.08,1338464,68.9
Ayushman Bharat PM-JAY,Health & Family Welfare,Assam,Guwahati,2019-20,710.49,550.3,475.91,277456,67
Ayushman Bharat PM-JAY,Health & Family Welfare,Assam,Guwahati,2020-21,762.94,547.18,387.75,169059,50.8
Ayushman Bharat PM-JAY,Health & Family Welfare,Assam,Guwahati,2021-22,799.69,759.63,524.26,312983,65.6
Ayushman Bharat PM-JAY,Health & Family Welfare,Assam,Guwahati,2022-23,920.13,920.13,920.13,118697,100
Ayushman Bharat PM-JAY,Health & Family Welfare,Assam,Guwahati,2023-24,1110.88,990.29,882,349272,79.4
Ayushman Bharat PM-JAY,Health & Family Welfare,Assam,Guwahati,2024-25,1445.19,1320.36,1060.08,891527,73.4
Ayushman Bharat PM-JAY,Health & Family Welfare,Assam,Guwahati,2025-26,1929.9,1862.98,1725.37,665993,89.4
Ayushman Bharat PM-JAY,Health & Family Welfare,Andhra Pradesh,Visakhapatnam,2019-20,790.43,730.29,546.8,423770,69.2
Ayushman Bharat PM-JAY,Health & Family Welfare,Andhra Pradesh,Visakhapatnam,2020-21,839.17,610.52,541.27,270635,64.5
Ayushman Bharat PM-JAY,Health & Family Welfare,Andhra Pradesh,Visakhapatnam,2021-22,942.06,830.98,708.16,485090,75.2
Ayushman Bharat PM-JAY,Health & Family Welfare,Andhra Pradesh,Visakhapatnam,2022-23,985.98,879.38,817.2,292558,82.9
Ayushman Bharat PM-JAY,Health & Family Welfare,Andhra Pradesh,Visakhapatnam,2023-24,1215.39,924.05,719.71,174170,59.2
Ayushman Bharat PM-JAY,Health & Family Welfare,Andhra Pradesh,Visakhapatnam,2024-25,1616.11,1363.52,1035.36,311643,64.1
Ayushman Bharat PM-JAY,Health & Family Welfare,Andhra Pradesh,Visakhapatnam,2025-26,2110.07,1916.66,1916.66,693831,90.8
Ayushman Bharat PM-JAY,Health & Family Welfare,Rajasthan,Jaipur,2019-20,107.39,80.8,67.71,49564,63.1
Ayushman Bharat PM-JAY,Health & Family Welfare,Rajasthan,Jaipur,2020-21,113.01,78.08,61.96,41265,54.8
Ayushman Bharat PM-JAY,Health & Family Welfare,Rajasthan,Jaipur,2021-22,125.11,119.58,88.65,71895,70.9
Ayushman Bharat PM-JAY,Health & Family Welfare,Rajasthan,Jaipur,2022-23,146.76,136.51,115.48,43190,78.7
Ayushman Bharat PM-JAY,Health & Family Welfare,Rajasthan,Jaipur,2023-24,188.38,159.85,119.84,26125,63.6
Ayushman Bharat PM-JAY,Health & Family Welfare,Rajasthan,Jaipur,2024-25,253.62,203.18,124.31,40525,49
Ayushman Bharat PM-JAY,Health & Family Welfare,Rajasthan,Jaipur,2025-26,342,339.03,133.57,94434,39.1
Ayushman Bharat PM-JAY,Health & Family Welfare,Madhya Pradesh,Indore,2019-20,42.51,36.55,29.04,15653,68.3
Ayushman Bharat PM-JAY,Health & Family Welfare,Madhya Pradesh,Indore,2020-21,43.24,32.38,16.89,2044,39.1
Ayushman Bharat PM-JAY,Health & Family Welfare,Madhya Pradesh,Indore,2021-22,48.56,42.6,22.81,10493,47
Ayushman Bharat PM-JAY,Health & Family Welfare,Madhya Pradesh,Indore,2022-23,59.39,48.88,34.66,22078,58.4
Ayushman Bharat PM-JAY,Health & Family Welfare,Madhya Pradesh,Indore,2023-24,73.54,63.7,51.97,44954,70.7
Ayushman Bharat PM-JAY,Health & Family Welfare,Madhya Pradesh,Indore,2024-25,91.85,91.16,91.16,25342,99.2
Ayushman Bharat PM-JAY,Health & Family Welfare,Madhya Pradesh,Indore,2025-26,120.53,119.04,99,54252,82.1
National Health Mission,Health & Family Welfare,Uttarakhand,Dehradun,2019-20,486.68,417.25,259.1,74362,53.2
National Health Mission,Health & Family Welfare,Uttarakhand,Dehradun,2020-21,544.53,440.88,361.23,98616,66.3
National Health Mission,Health & Family Welfare,Uttarakhand,Dehradun,2021-22,620.33,545.15,312.7,44091,50.4
National Health Mission,Health & Family Welfare,Uttarakhand,Dehradun,2022-23,758.07,636.26,493.06,191307,65
National Health Mission,Health & Family Welfare,Uttarakhand,Dehradun,2023-24,1010.91,845.99,623.92,471060,61.7
National Health Mission,Health & Family Welfare,Uttarakhand,Dehradun,2024-25,1267.92,1078.64,940.75,411108,74.2
National Health Mission,Health & Family Welfare,Uttarakhand,Dehradun,2025-26,1614.4,1605.09,1154.14,945241,71.5
National Health Mission,Health & Family Welfare,Rajasthan,Jodhpur,2019-20,413.21,295.16,193.9,40719,46.9
National Health Mission,Health & Family Welfare,Rajasthan,Jodhpur,2020-21,455.63,358.28,275.18,167860,60.4
National Health Mission,Health & Family Welfare,Rajasthan,Jodhpur,2021-22,512.56,414.9,342.43,91771,66.8
National Health Mission,Health & Family Welfare,Rajasthan,Jodhpur,2022-23,571.95,497.54,464.8,269119,81.3
National Health Mission,Health & Family Welfare,Rajasthan,Jodhpur,2023-24,733.4,694.06,694.06,270683,94.6
National Health Mission,Health & Family Welfare,Rajasthan,Jodhpur,2024-25,946.35,693.3,583.22,215208,61.6
National Health Mission,Health & Family Welfare,Rajasthan,Jodhpur,2025-26,1299.42,1028.62,714,317730,54.9
National Health Mission,Health & Family Welfare,Karnataka,Belagavi,2019-20,495.38,359.75,303.44,134727,61.3
National Health Mission,Health & Family Welfare,Karnataka,Belagavi,2020-21,476.89,319.49,256.18,129883,53.7
National Health Mission,Health & Family Welfare,Karnataka,Belagavi,2021-22,522.66,413.2,382.2,59623,73.1
National Health Mission,Health & Family Welfare,Karnataka,Belagavi,2022-23,584.44,406.86,290.12,147961,49.6
National Health Mission,Health & Family Welfare,Karnataka,Belagavi,2023-24,735.95,566.13,440.37,162497,59.8
National Health Mission,Health & Family Welfare,Karnataka,Belagavi,2024-25,872.98,624.58,552.8,190163,63.3
National Health Mission,Health & Family Welfare,Karnataka,Belagavi,2025-26,1149.67,1064.3,855.84,369723,74.4
National Health Mission,Health & Family Welfare,Tamil Nadu,Coimbatore,2019-20,662.14,528.32,526.91,206022,79.6
National Health Mission,Health & Family Welfare,Tamil Nadu,Coimbatore,2020-21,703,478.6,376.2,305851,53.5
National Health Mission,Health & Family Welfare,Tamil Nadu,Coimbatore,2021-22,764.64,732.82,627.87,117412,82.1
National Health Mission,Health & Family Welfare,Tamil Nadu,Coimbatore,2022-23,871.23,774.72,514.6,245979,59.1
National Health Mission,Health & Family Welfare,Tamil Nadu,Coimbatore,2023-24,1074.21,949.53,803.65,279670,74.8
National Health Mission,Health & Family Welfare,Tamil Nadu,Coimbatore,2024-25,1479.58,1173.4,940.14,373236,63.5
National Health Mission,Health & Family Welfare,Tamil Nadu,Coimbatore,2025-26,1945.66,1945.66,1493.89,1072613,76.8
National Health Mission,Health & Family Welfare,Tamil Nadu,Madurai,2019-20,352.65,323.07,249.03,198726,70.6
National Health Mission,Health & Family Welfare,Tamil Nadu,Madurai,2020-21,338.11,217.16,182.92,139934,54.1
National Health Mission,Health & Family Welfare,Tamil Nadu,Madurai,2021-22,390.56,332.97,252.32,59800,64.6
National Health Mission,Health & Family Welfare,Tamil Nadu,Madurai,2022-23,443.04,391.09,277.15,160193,62.6
National Health Mission,Health & Family Welfare,Tamil Nadu,Madurai,2023-24,530.18,409.26,352.2,51069,66.4
National Health Mission,Health & Family Welfare,Tamil Nadu,Madurai,2024-25,672.84,641.01,610.6,453676,90.7
National Health Mission,Health & Family Welfare,Tamil Nadu,Madurai,2025-26,984.44,872.6,829.66,158465,84.3
National Health Mission,Health & Family Welfare,Bihar,Muzaffarpur,2019-20,286.9,273.36,185.53,69203,64.7
National Health Mission,Health & Family Welfare,Bihar,Muzaffarpur,2020-21,308.58,205.63,143.27,82667,46.4
National Health Mission,Health & Family Welfare,Bihar,Muzaffarpur,2021-22,340.61,237.66,222.65,83494,65.4
National Health Mission,Health & Family Welfare,Bihar,Muzaffarpur,2022-23,379.17,307.34,266.29,147525,70.2
National Health Mission,Health & Family Welfare,Bihar,Muzaffarpur,2023-24,489.96,377.91,345.76,144528,70.6
National Health Mission,Health & Family Welfare,Bihar,Muzaffarpur,2024-25,654.95,539.02,530.71,360352,81
National Health Mission,Health & Family Welfare,Bihar,Muzaffarpur,2025-26,893.57,775.68,616.92,259106,69
National Health Mission,Health & Family Welfare,Andhra Pradesh,Guntur,2019-20,358.08,315.26,218.85,142909,61.1
National Health Mission,Health & Family Welfare,Andhra Pradesh,Guntur,2020-21,367.68,247.43,247.43,39589,67.3
National Health Mission,Health & Family Welfare,Andhra Pradesh,Guntur,2021-22,415.25,292.05,244.84,128051,59
National Health Mission,Health & Family Welfare,Andhra Pradesh,Guntur,2022-23,492.4,379.72,349.75,65403,71
National Health Mission,Health & Family Welfare,Andhra Pradesh,Guntur,2023-24,583.57,412.13,366.94,219430,62.9
National Health Mission,Health & Family Welfare,Andhra Pradesh,Guntur,2024-25,807.2,534.09,508.68,270618,63
National Health Mission,Health & Family Welfare,Andhra Pradesh,Guntur,2025-26,1119.37,888.15,731.8,552509,65.4
National Health Mission,Health & Family Welfare,Maharashtra,Nashik,2019-20,455.36,356.05,253.18,142794,55.6
National Health Mission,Health & Family Welfare,Maharashtra,Nashik,2020-21,445.34,316.36,215.82,133161,48.5
National Health Mission,Health & Family Welfare,Maharashtra,Nashik,2021-22,463.65,405.99,353.76,317323,76.3
National Health Mission,Health & Family Welfare,Maharashtra,Nashik,2022-23,552.79,526.48,422.4,136435,76.4
National Health Mission,Health & Family Welfare,Maharashtra,Nashik,2023-24,753.57,604.63,540.24,114531,71.7
National Health Mission,Health & Family Welfare,Maharashtra,Nashik,2024-25,996.45,724.22,662.07,411808,66.4
National Health Mission,Health & Family Welfare,Maharashtra,Nashik,2025-26,1370.61,1281.36,1022.19,202394,74.6
National Health Mission,Health & Family Welfare,Jharkhand,Ranchi,2019-20,49.16,40.58,37.07,24281,75.4
National Health Mission,Health & Family Welfare,Jharkhand,Ranchi,2020-21,52.95,30.76,26.73,3715,50.5
National Health Mission,Health & Family Welfare,Jharkhand,Ranchi,2021-22,56.5,45.26,43.35,21892,76.7
National Health Mission,Health & Family Welfare,Jharkhand,Ranchi,2022-23,68.77,49.46,43.07,8140,62.6
National Health Mission,Health & Family Welfare,Jharkhand,Ranchi,2023-24,82.23,76.32,57.11,20274,69.5
National Health Mission,Health & Family Welfare,Jharkhand,Ranchi,2024-25,104.58,84.17,58.38,18740,55.8
National Health Mission,Health & Family Welfare,Jharkhand,Ranchi,2025-26,147.17,147.17,131.04,37215,89
National Health Mission,Health & Family Welfare,Madhya Pradesh,Indore,2019-20,154.76,147.59,131.83,38758,85.2
National Health Mission,Health & Family Welfare,Madhya Pradesh,Indore,2020-21,170.44,111.28,97.72,55994,57.3
National Health Mission,Health & Family Welfare,Madhya Pradesh,Indore,2021-22,181.4,164.79,122.41,26318,67.5
National Health Mission,Health & Family Welfare,Madhya Pradesh,Indore,2022-23,208.86,162.27,155.76,115574,74.6
National Health Mission,Health & Family Welfare,Madhya Pradesh,Indore,2023-24,272.03,180.7,142.22,101261,52.3
National Health Mission,Health & Family Welfare,Madhya Pradesh,Indore,2024-25,335.54,321.3,251.49,61364,75
National Health Mission,Health & Family Welfare,Madhya Pradesh,Indore,2025-26,489.52,405.25,308.81,150082,63.1
National Health Mission,Health & Family Welfare,Assam,Guwahati,2019-20,204.03,174.89,164.36,21696,80.6
National Health Mission,Health & Family Welfare,Assam,Guwahati,2020-21,219.41,159.09,124.1,27923,56.6
National Health Mission,Health & Family Welfare,Assam,Guwahati,2021-22,256.42,197.2,187.43,118081,73.1
National Health Mission,Health & Family Welfare,Assam,Guwahati,2022-23,275.1,221.56,209.03,159490,76
National Health Mission,Health & Family Welfare,Assam,Guwahati,2023-24,340.28,340.28,297.66,120255,87.5
National Health Mission,Health & Family Welfare,Assam,Guwahati,2024-25,445.19,355.88,317.05,132527,71.2
National Health Mission,Health & Family Welfare,Assam,Guwahati,2025-26,600.2,518.7,449.92,371184,75
National Health Mission,Health & Family Welfare,Maharashtra,Nagpur,2019-20,266.04,234.97,195.28,138454,73.4
National Health Mission,Health & Family Welfare,Maharashtra,Nagpur,2020-21,271.97,191.79,149.01,87916,54.8
National Health Mission,Health & Family Welfare,Maharashtra,Nagpur,2021-22,307.34,299.62,210.85,149282,68.6
National Health Mission,Health & Family Welfare,Maharashtra,Nagpur,2022-23,356,283.26,245.44,34852,68.9
National Health Mission,Health & Family Welfare,Maharashtra,Nagpur,2023-24,430.17,420.82,348.2,120477,80.9
National Health Mission,Health & Family Welfare,Maharashtra,Nagpur,2024-25,562.58,536.97,419.77,259418,74.6
National Health Mission,Health & Family Welfare,Maharashtra,Nagpur,2025-26,796.07,575.22,453.23,394310,56.9
Jal Jeevan Mission,Jal Shakti,Tamil Nadu,Coimbatore,2019-20,71.61,59.8,39.07,29889,54.6
Jal Jeevan Mission,Jal Shakti,Tamil Nadu,Coimbatore,2020-21,70.51,40.07,14.14,9714,20.1
Jal Jeevan Mission,Jal Shakti,Tamil Nadu,Coimbatore,2021-22,77.17,54.2,20.65,7496,26.8
Jal Jeevan Mission,Jal Shakti,Tamil Nadu,Coimbatore,2022-23,86.88,75.46,57.08,11873,65.7
Jal Jeevan Mission,Jal Shakti,Tamil Nadu,Coimbatore,2023-24,103.92,88.59,33.49,14769,32.2
Jal Jeevan Mission,Jal Shakti,Tamil Nadu,Coimbatore,2024-25,130.57,125.51,40.29,5197,30.9
Jal Jeevan Mission,Jal Shakti,Tamil Nadu,Coimbatore,2025-26,165.06,116.32,107.65,77508,65.2
Jal Jeevan Mission,Jal Shakti,Odisha,Cuttack,2019-20,274.36,224.71,98.42,17617,35.9
Jal Jeevan Mission,Jal Shakti,Odisha,Cuttack,2020-21,286.28,180.03,164.88,33141,57.6
Jal Jeevan Mission,Jal Shakti,Odisha,Cuttack,2021-22,317.84,298.99,122.88,89580,38.7
Jal Jeevan Mission,Jal Shakti,Odisha,Cuttack,2022-23,349.12,264.88,238.18,111945,68.2
Jal Jeevan Mission,Jal Shakti,Odisha,Cuttack,2023-24,461.43,343.24,272.67,173145,59.1
Jal Jeevan Mission,Jal Shakti,Odisha,Cuttack,2024-25,591.7,480.04,448.05,362472,75.7
Jal Jeevan Mission,Jal Shakti,Odisha,Cuttack,2025-26,827.67,634.14,263.8,202598,31.9
Jal Jeevan Mission,Jal Shakti,Maharashtra,Nagpur,2019-20,155.54,125.38,80.55,67340,51.8
Jal Jeevan Mission,Jal Shakti,Maharashtra,Nagpur,2020-21,155.02,102.4,44.75,30743,28.9
Jal Jeevan Mission,Jal Shakti,Maharashtra,Nagpur,2021-22,168.49,144.15,63.28,34234,37.6
Jal Jeevan Mission,Jal Shakti,Maharashtra,Nagpur,2022-23,198.25,148.02,127.92,84939,64.5
Jal Jeevan Mission,Jal Shakti,Maharashtra,Nagpur,2023-24,237.4,185.55,71.07,31129,29.9
Jal Jeevan Mission,Jal Shakti,Maharashtra,Nagpur,2024-25,323.26,287.43,100.31,21065,31
Jal Jeevan Mission,Jal Shakti,Maharashtra,Nagpur,2025-26,471.87,448.65,335.03,121281,71
Jal Jeevan Mission,Jal Shakti,Uttarakhand,Dehradun,2019-20,662.7,527.03,511.04,413431,77.1
Jal Jeevan Mission,Jal Shakti,Uttarakhand,Dehradun,2020-21,680.29,421.88,168.33,73560,24.7
Jal Jeevan Mission,Jal Shakti,Uttarakhand,Dehradun,2021-22,677.03,632.9,546.28,167708,80.7
Jal Jeevan Mission,Jal Shakti,Uttarakhand,Dehradun,2022-23,814.03,790.39,742.73,228761,91.2
Jal Jeevan Mission,Jal Shakti,Uttarakhand,Dehradun,2023-24,986.64,810.47,771.95,509487,78.2
Jal Jeevan Mission,Jal Shakti,Uttarakhand,Dehradun,2024-25,1287,1053.58,655.79,135093,51
Jal Jeevan Mission,Jal Shakti,Uttarakhand,Dehradun,2025-26,1729.78,1526.23,1273.27,421452,73.6
Jal Jeevan Mission,Jal Shakti,Tamil Nadu,Tiruchirappalli,2019-20,591.77,502.31,489.58,162541,82.7
Jal Jeevan Mission,Jal Shakti,Tamil Nadu,Tiruchirappalli,2020-21,555.35,341.04,283.84,240412,51.1
Jal Jeevan Mission,Jal Shakti,Tamil Nadu,Tiruchirappalli,2021-22,647.57,424.38,127.31,16296,19.7
Jal Jeevan Mission,Jal Shakti,Tamil Nadu,Tiruchirappalli,2022-23,778.64,529.78,410.2,182129,52.7
Jal Jeevan Mission,Jal Shakti,Tamil Nadu,Tiruchirappalli,2023-24,998.15,914.5,714.35,201447,71.6
Jal Jeevan Mission,Jal Shakti,Tamil Nadu,Tiruchirappalli,2024-25,1351.86,1078.22,891.97,114172,66
Jal Jeevan Mission,Jal Shakti,Tamil Nadu,Tiruchirappalli,2025-26,1784.52,1680.95,1680.95,1000165,94.2
Jal Jeevan Mission,Jal Shakti,Rajasthan,Udaipur,2019-20,248.79,204.99,191.27,71726,76.9
Jal Jeevan Mission,Jal Shakti,Rajasthan,Udaipur,2020-21,266.39,207.2,152.92,50769,57.4
Jal Jeevan Mission,Jal Shakti,Rajasthan,Udaipur,2021-22,300.23,242.26,77.28,67002,25.7
Jal Jeevan Mission,Jal Shakti,Rajasthan,Udaipur,2022-23,355.93,299.57,263.3,46078,74
Jal Jeevan Mission,Jal Shakti,Rajasthan,Udaipur,2023-24,430.74,371.81,371.81,61720,86.3
Jal Jeevan Mission,Jal Shakti,Rajasthan,Udaipur,2024-25,548.73,512.5,512.5,178350,93.4
Jal Jeevan Mission,Jal Shakti,Rajasthan,Udaipur,2025-26,699.58,487.78,402.31,99371,57.5
Jal Jeevan Mission,Jal Shakti,Rajasthan,Jaipur,2019-20,764.86,678.85,384.47,189544,50.3
Jal Jeevan Mission,Jal Shakti,Rajasthan,Jaipur,2020-21,865.93,646.65,281.94,156477,32.6
Jal Jeevan Mission,Jal Shakti,Rajasthan,Jaipur,2021-22,1036.9,982.29,863.39,180449,83.3
Jal Jeevan Mission,Jal Shakti,Rajasthan,Jaipur,2022-23,1270.45,1151.86,755.45,466113,59.5
Jal Jeevan Mission,Jal Shakti,Rajasthan,Jaipur,2023-24,1548.75,1382.7,504.69,362872,32.6
Jal Jeevan Mission,Jal Shakti,Rajasthan,Jaipur,2024-25,1954.06,1820.71,795.65,365203,40.7
Jal Jeevan Mission,Jal Shakti,Rajasthan,Jaipur,2025-26,2836.37,2735.75,2294.69,1115219,80.9
Jal Jeevan Mission,Jal Shakti,Punjab,Amritsar,2019-20,282.84,227.99,227.38,40701,80.4
Jal Jeevan Mission,Jal Shakti,Punjab,Amritsar,2020-21,312.06,175.4,121.01,24565,38.8
Jal Jeevan Mission,Jal Shakti,Punjab,Amritsar,2021-22,359.55,347.95,334.04,68144,92.9
Jal Jeevan Mission,Jal Shakti,Punjab,Amritsar,2022-23,455.51,361.13,291.05,56464,63.9
Jal Jeevan Mission,Jal Shakti,Punjab,Amritsar,2023-24,579.02,525.62,171.35,39068,29.6
Jal Jeevan Mission,Jal Shakti,Punjab,Amritsar,2024-25,740.04,541.23,195.93,88364,26.5
Jal Jeevan Mission,Jal Shakti,Punjab,Amritsar,2025-26,998.19,875.02,286.13,126183,28.7
Jal Jeevan Mission,Jal Shakti,Punjab,Ludhiana,2019-20,486.73,466.68,466.68,119003,95.9
Jal Jeevan Mission,Jal Shakti,Punjab,Ludhiana,2020-21,508.34,367.49,308.43,227621,60.7
Jal Jeevan Mission,Jal Shakti,Punjab,Ludhiana,2021-22,574.29,472.6,429.84,371812,74.8
Jal Jeevan Mission,Jal Shakti,Punjab,Ludhiana,2022-23,761.14,547.24,168.55,140234,22.1
Jal Jeevan Mission,Jal Shakti,Punjab,Ludhiana,2023-24,951.02,737.36,647.23,280898,68.1
Jal Jeevan Mission,Jal Shakti,Punjab,Ludhiana,2024-25,1309.42,1199.67,1199.67,501462,91.6
Jal Jeevan Mission,Jal Shakti,Punjab,Ludhiana,2025-26,1773.66,1445.45,1399.14,1129106,78.9
Jal Jeevan Mission,Jal Shakti,Bihar,Gaya,2019-20,731.56,715.21,637.97,329830,87.2
Jal Jeevan Mission,Jal Shakti,Bihar,Gaya,2020-21,766.93,493.03,162.7,142037,21.2
Jal Jeevan Mission,Jal Shakti,Bihar,Gaya,2021-22,802.19,717.47,456.87,310672,57
Jal Jeevan Mission,Jal Shakti,Bihar,Gaya,2022-23,903.86,697.52,306.21,74409,33.9
Jal Jeevan Mission,Jal Shakti,Bihar,Gaya,2023-24,1126.42,1085.85,1085.85,200882,96.4
Jal Jeevan Mission,Jal Shakti,Bihar,Gaya,2024-25,1449.06,1343.49,930.57,171225,64.2
